stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,34.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,0,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.84,3.71,0,0,33.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.47,0,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,349.97,0,0,0,159.41,0,0,0,11.84,0,6.05,0,0,0,0,0,0
 14-21,0,0,2.09,1.9,4.66,0,5.31,0,0,0,14.64,0,0,0,0,0,0,0,0,0,0,0.92,472.8,4.66,28.79,3.15,4.32,0,0,2.28,0,0,7.29,202.59,0,0,0,0,0
 24-34,0,0,0.62,1.18,2.11,0,269.78,0,0,0,38.28,0,0,0,0,0,0.82,0.65,0,4.87,0,11.72,2707.76,0.62,74.35,5.79,0,2.14,0,0,0,0.63,0.6,625.37,0,0,3.43,0,0
 36-46,0,0,1.1,0,8.11,0,1426.45,1.88,0,0,114.03,0,0.71,0,0,0,0.72,0,0.86,14.09,0,3.53,4780.96,1.29,79.41,1.55,0,13.36,0,0,0,0,0,1003.29,0,0,0.74,0,4.64
 48-58,0,0,0,0,8.71,0,1364.69,0,0,0.43,146.93,0,0.63,0,5.43,6.99,0,0,0,14.61,0,3.58,3221.75,11.4,21.61,1.62,0,0.42,0.65,0,0,0,0,779.98,0,0,0,0,2.92
 60-70,0,0,2.57,0,2.12,0,1002.89,0,0,1.24,167.13,0,0,0,0,12.03,0,0,0,16.84,0.99,0.82,1696.7,5.95,10.17,0,0,2.27,0,0,0.67,0,0,392.42,0,0,1.05,0,6.62
 72-82,0,0,0,0,0.61,6.28,161.18,1.57,2.19,0,27.27,0.62,0,1.3,0,0,0.63,0,0,2.46,0,4.82,391.53,0,11.99,0.67,0,2.38,0,0,0,0,0,36.14,0,0,0.56,1.28,0
 84-94,0,0,0.81,0,2.67,0,195.91,0,0,1.2,20.41,0.59,0,0,0,0,0,0,0,12.84,0,0,423.48,0,8.05,0,0,0.86,0,0,0,0,0,63.49,0,0.57,0,0,0
 96-106,0,0,0.99,0,0,0,109.54,0,0,0,13.99,2.87,0,0,0,0,0,0,0,2.37,0,0,264.89,0,10.16,0,0,1.61,0,0,0,0,0,2.92,0,1.01,0,0,0
108-118,0,0,0,0,1.73,0,106.75,0,0.51,0,18.12,0,0,0.43,0,0.7,0,0,0,8.07,0,0,284.71,0,4.82,0,0,1,0,0,0,0,0,0.95,1.37,0,1.37,0,0
120,0,0,0,0,0,0,80.84,0,1.45,0,14.44,0,0,0,1.41,0,0,0,0,0,0,0,228.29,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
