stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.48,27.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,14.34,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,13.72,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,3.54,2.84,0,5.89,0,0,0,0.99,0,0,0,0,0,0,4.78,0,0,1.27,100.76,0,0,0,3.43,0,0,0,3.96,1.92,4.62,0,0,2.2,0,0
 24-34,0,0,0,0.67,0.6,0,0,33.85,0,0,1.05,0,4.49,0,0,0,0,0,31.72,0,0,8.36,325.44,0,1.43,4.02,0,0,3.55,0,20.23,0,13.79,0,0,8.87,0,0
 36-46,0,0,0,0,3.75,0,0,62.38,0,0,19.49,0,0,0,0,0,0,0,105.44,0,0,13.08,426.27,0,3.08,4.94,0,0,11.56,0,13.8,0,43.44,0,0,3.79,0,0
 48-58,0,0,0,0.45,1.54,0,0,56.22,0,2.09,60.11,0,0,0.88,0,0,0,0.48,205.91,0.52,0,6.44,349.81,0,0.98,7.18,0,0,0,0,0.99,0,61.92,0,0,2.26,0,0
 60-70,0,0,2.68,0,4.38,0,0,44.86,0,4.45,66.77,1.46,0,0,0,0,0.72,0,328.31,0,0,12.05,406.59,0,1.42,5.06,0,0.71,0,0,3.63,0,23.87,0,3.61,13.28,0,0
 72-82,0,0,2.49,0,5.43,0,0.52,112.66,0.88,11.71,100.09,2.69,0,0,0,2.79,0,0,606.13,0,3.73,8.72,226.38,0,2.14,13.89,0,0,0.96,0,2.6,0,16.48,0.53,5.19,36.24,0,0
 84-94,0,0,1.49,0,7.29,7.86,3.83,140.98,0,12.64,64.48,13.35,0,1.92,0,0,0,0,509.76,3.11,1.22,12.67,233.84,0,16.86,21.11,0,0,3.3,0,2.55,0,29.7,2.89,6.8,29.45,0,7.62
 96-106,0,0,9.68,0,5.66,1.39,6.57,171.6,0,8.71,152.21,10.36,0,0.6,2.57,0,0,1.36,467.87,0,0,13.1,204.83,0,13.85,19.34,0,0,6.17,1.35,7.14,0,12.72,8.09,10.04,14.7,0.61,1.9
108-118,0,0,1.78,0,7.23,2.08,28.16,234.32,0,20.24,140.4,8.44,0,1.21,0,0,0,0.6,544.89,0,1.31,5.15,330.11,0.57,19.76,42.03,0,0,11.81,0,3.56,0,15.94,6.06,3.82,24.42,0,5.99
120,0,0,0,0,16.96,2.03,27.21,188.4,0,10.29,108.45,6.79,0,0,0,0,0,11.25,724.23,0,0,2.81,445.6,6.07,20.63,24.48,0,0,10.14,0,0,0,23.54,1.9,8.97,37.66,0,0
