stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,xanthophores
  5-6,6.23,22.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,25.26,0,5.07,10.69,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.27,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0.85,0,0,0,0,0
 24-34,0,0,0,0,21.69,0,0,0,0,0,0,0.9,0,0,7.23,0,0,19.31,0,0,5.67
 36-46,0,0,0,0.74,59.83,0,0,0,0.76,0,0,0,0,0,5.99,0,0,42.89,2.29,0,0
 48-58,0,0,0,0,28.82,0.74,0,0,0,0,0,0.9,0,0.49,13.93,0,0,20.46,2.18,0,0
 60-70,0,0,0,2.02,58.16,1.83,0,0,0,0,0,1.04,0,0,1.3,0,0,50.88,0,0,0
 72-82,0,0,0,2.3,25.14,0.8,0,0,0,0,0,0,0,0,3.16,0,0,53.69,0,0,0
 84-94,0,0,0,8.74,32.33,3.28,0.97,0,0,0,0.58,0,0,0,3.91,0,0,160.22,0,0,0
 96-106,0,0,0,25.83,11.96,0.59,0,0,0,0,1.42,0.64,0,0,1.95,0.66,0,204.35,2,0.83,0
108-118,0,0,0,20.65,39.53,0.96,1.39,0.5,0,1.04,1.72,5.61,0,0,5.14,0,0,143.59,0,0,0
120,0,0,0,4.93,7.23,2.38,0,0,0,0,3.45,0,2.05,0,3.55,0,0,134.07,0,0,0
