stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,2.58,0.81,0,0,0,0
 24-34,0,0,1.96,0,0,0,0,0,0,0.64,1.09,0,0,0,0,24.53,0,0,0,0,0.69,18.42,0,0,0,1.43
 36-46,0,0,10.84,2.57,0,1.35,0,0,0,0,0,0.66,0,0,1.15,75.19,1.27,0,0,0,0,9.8,0,0,0,0
 48-58,1.97,0,20.69,0,0,1.09,0,0,0,0,0,0.46,0,0,2.11,115.88,0,0,0,0,0,21.53,0,0,0,3
 60-70,0.96,0,78.16,0,0,3.49,0,0,0,0,2.33,2.31,0,0,0,175.57,3.18,0,0,0.62,0,24.93,0,0.58,0,0
 72-82,3.02,1.2,141.91,0.49,0,10.44,0,0.7,0,0,0.57,7.32,0,0,0.71,276.09,1.31,0,0,0,0,17.53,0,2.68,0,2.1
 84-94,0,0,133.89,0,5.25,8.81,0,0,0,0,0,3.15,0,0,0.56,229.02,0,0,1.34,5.42,0,24.05,1.64,0,0,5.98
 96-106,0.97,0,126.58,2.02,1.3,19.18,0,0,0.8,0.89,0,7.17,2.95,0,2.32,226.82,0,0,0.6,0,0,6.51,0,3.66,0.67,0
108-118,3.12,0,133.76,1,0.53,23.61,0.52,0,0,1.93,1.67,4.83,0,0,0.92,224.43,0,0,0,1.15,0,11.19,1.1,0,0.49,0
120,1.65,0,102.22,0,0,25.86,0,0,0,0,0,1.35,0,13.66,0,422.06,0,0,0,0,0,30.33,0,7.96,2.94,0
