stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  7-9,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,10.92,0,0,186.69,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4.27,5.08,0,0,0,0,0,6.34,0,1.27,5.67,99.8,0,0,241.27,0,140.61,0,35.44,51.5,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.07,0,0,1.13,0,0,0,1.84,0,0,2.66,108.69,0,0,0,0,0,0.61,9.67,4.93,0,0,0,0
 36-46,0,0,0,0,2.19,0,0.67,0,0,0,0,0,0,0,8.83,0,1.6,4.05,121.29,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.12,0,0.47,0,0,0,0,0,0,0,59.89,0,2.59,7.78,55.28,0.38,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,12.92,0,0,0,0,0,0,0,0,0,288.3,0,1.58,4.09,0.75,0,0.76,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.51,0,0,10.81,1.33,2.56,0,0,0,0,0.93,0.69,1.92,664.74,6.73,3.48,34.63,3.18,0,0.83,0,0,0,0,0,0,0,0.87,0,0
 84-94,0,0,2.12,0,34.39,0.56,0.96,0,0,1.12,0,1.92,0,0,454.09,1.94,3.98,27.01,0,0,0,0,0,0,0,0,2.42,0,0,5.78,0
 96-106,0,2.13,0,0,21,0,10.92,0.74,0,0,0.63,0,0,0,501.48,1.89,2.33,26.35,0,0,0,0,3.62,0,0,0,0,0,4.69,0,0
108-118,0,5.1,0,0.5,3.81,0,7.76,0,0,0.84,0,1.3,0,0,571.96,7.19,3.27,25.75,0,0,0,0,0.6,0,0,0,1.22,2.51,5.54,0,2.22
120,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,605.58,0,3.82,23.68,0,0,2.44,0,0,0,0,0,0,0,0,0,0
