stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,7.12,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,1.55,0,0,0.65,0,0,0,0
 36-46,0,0,0,0,0,10.75,0,0,0,1.05,0,0,0,0,0,0,0,28.49,0,1.22,2.26,0,0,7.68,0,0,0,0
 48-58,0,0,0,0,0,1.43,0.37,0,0,0,0,0,0,0.39,0.88,0,0,127.03,0,0.6,4.24,0,0,24.65,0,0,0,0
 60-70,0,0,0,3.34,0,9.52,2.08,0,0,0.87,0.63,0,0,0,0.97,0,0,241.13,0,0,4.28,5.42,0,42.02,0,0,0,0
 72-82,0,0,0,0.71,0,85.6,0,5.3,0,12,0.86,0,0,0,3.64,0,0,407.97,0,5.47,6.55,0,0,33.63,0,0.57,4.65,1.14
 84-94,0,0,1.46,2.17,1.07,85.11,0,0,0.87,1.41,1.56,0,2.07,18.4,5.72,1.67,0,318.58,0,6.35,16.31,0,0.62,48.24,0,0,0,0
 96-106,0,0,0,3.94,0,219.41,0,0,0,5.67,3.43,0.77,6.51,3.42,15.72,0,0,404.14,0,10.8,11.26,1.2,0,29.18,0,0.78,0.98,0
108-118,0,0,0.41,2.09,0,213.43,0,0,4.9,19.86,0.67,0,0,3.58,1.64,1.47,0.53,492.16,0,8.62,6.51,3.67,0,18.88,0.68,0,0.86,0
120,0,0,0,2.07,0,224.12,0,0,0,63.16,0,0,0,1.33,2.59,0,1.12,1021.94,1.8,36.35,19.75,0,0,78.2,0,0,0,0
