stage,blastomeres,epidermis,eye,fast_muscle,immune,liver,mesenchyme,muscle,neural,pericytes,periderm,slow_muscle,spinal_cord,vasculature
  3-4,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0
 10-12,0,0,5.69,0,0,0,0,0,12.25,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0
 24-34,0,0.98,0,0,0,0,0,1.35,1.29,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.21,0,0,0,0.69,0
 48-58,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.66,0.93,0,0,0,0,1.35,0
 72-82,0,0,0,0,0,0,2.12,0,6.37,0,0,0,0,0
 84-94,0,0,10.01,0,0,0,2.66,0,0,0,0,9.21,0,0.72
 96-106,0,0,1.25,0,0,11.29,0,0,1.55,0,0.86,0.7,0,0
108-118,0,2.15,0,7.1,0.98,0,1.64,0.45,5.1,8,0,0,0,0
120,0,7.11,0,18.62,0,2.4,0,0,0,0,1,0,0,0
