stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,22.57,10.26,0,0,0,0,0,0,0,0,0,36.12,0,0,19.45,0,0,0,0
  7-9,7.41,0,0,0,0,0,0,0,0,0,0,0,16.09,0,0,36.18,0,0,0,0
 10-12,0,4.96,0,0,0,0,0,0,0,0,0,0,19.43,0,0,10.57,0,0,0,0
 14-21,0,0,0,0,1.34,0,0,0,0,0,0,15.78,0,2.81,0,0,0,25.33,5.39,0
 24-34,0,0,0,0,0,0,0.99,0,0,0,0,0,0.66,0,0,0,0,0,0.61,2.12
 36-46,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,1.77
 48-58,0,0,0,0,0,0.47,0,0,0,0,0,0,2.04,0,2.16,0,0,0,0,0
 60-70,0,0,0,0,0,0.67,0,0,0,2.82,0,0,9.33,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,14.06,0,0,0,1.32,2.77,0,0,0,0.77,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.99,0,0,0,0,3.56,0,0,0,0.75,0,0,0
 96-106,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
