stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,3.6,0,13.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.35,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,4.58,6.37,0,0,0,0,97.26,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.23,0,0,0,0,0,51.99,0,0,0,0
 36-46,0,0,1.07,0,0,0,0,1.71,0,0,0,0,0,0,0,93.46,0,4.08,0,0,0,79.6,0,0,0,0
 48-58,0,0,0,0,54.68,0,0,11.04,0,0,0,0,0,0,0,161.66,0,0,0,0,0,107.29,0,0,0,0
 60-70,0,0,0,0,337.86,0,0,39.65,0,0,0,0,0.8,0,0.88,312.97,0.66,0,0,0,0,90.95,0,0,0,3.59
 72-82,0,0.9,3.27,0,426.46,0,0.78,47.81,0,0,0,0,11.15,0,0.69,600.63,0,0,0,0,0,88.48,6.94,0,1.92,2.27
 84-94,0,0,3.46,0,593.29,0,1.54,59.56,0,0,1.13,0,7.37,0,0,415.86,0,0,0,0,0,91.19,0,0,1.28,0
 96-106,0,0,2.99,8.77,836.16,0.56,0.69,36.25,0,0.82,0,1.12,8.89,0,0,387.35,0,0,0,0,5.07,94,1.74,0,0,0
108-118,0,6.21,4.32,1.32,1008.94,0,1.96,41.74,0,0,0,7.97,14.43,5.54,0,691.63,0.52,0,0,5.54,10.59,49.19,0,0,1.52,0
120,0,0,5.18,0,583.84,10.7,5.01,45.13,2.13,0,0,0,25.32,0,0,1061.18,2.66,0,0,0,0,102.31,0,30,0,0
