stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,76.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.28,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.87,17.13,0,0,7.23,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.04,3.09,6.59,1.68,0,7.41,0,0,0,6.74,0,0,1.95,0,0,0,0,0,8.72,0,0,3.63,176.38,99.92,3.47,0,0,0,1.48,0,0,111.25,0,0,0,0,0
 24-34,0.88,0,1.95,0,9.02,0,0,11.27,0,0,0,44.41,0,0,4.37,0,0.62,0,0,0,10.54,0,0,3.69,1147.35,12.33,3.04,0,0,0,2.75,0,0,301.91,0,0,25.96,0,0
 36-46,0,0,1.03,0,19.7,0.67,0,51.66,0.64,3.15,0,105.54,0,0,0.65,0,0,0,0,0,25.45,0,0,4.44,3131.03,2.43,8.46,0,0,0,1.21,0,7.16,591.31,0,0,25.59,0,0
 48-58,0,0,0,0,15.59,0,0,291.29,0,1,1.15,185.11,0,0.54,1.3,0,0.4,0,4.28,0,52.4,0,0.55,11.78,5422.84,2.04,5.28,1.22,0,0,5.07,0,6.49,722.58,0,0,20.85,0,1.25
 60-70,0,0,0.91,0,24.61,0,0,746.8,3.52,0,0,511.54,3.08,0,0.69,0,0,8.99,1.88,0,53.86,2.63,6.61,9.01,7690.08,0,5.79,8.19,0,0,6.84,0,1.01,917.37,1.62,1.67,13.14,0,6.76
 72-82,0,0,1.94,0,28.77,6.13,0,1205.1,0.57,0.78,1.85,636.49,5.22,0,1.32,10.71,1.08,1.29,1.24,0,80.4,0.59,1.84,3.29,8179.64,0,1.9,0.88,0,0,6.71,0.97,0.52,757.39,3.11,2.7,19.67,3.71,14.89
 84-94,0,0,2.55,0,47.27,5.5,0.6,839.15,1.14,2.51,3.41,388.14,0.68,0,0,1.97,2.06,12.66,0.69,0,102.82,0,8.58,10.43,4600.84,0,2.07,7.05,0,0,7.29,0,1.47,460.38,1.26,4.58,12.58,1.35,8.7
 96-106,0,0,14.12,0,43.47,20.93,15.74,838.4,1.29,0,4.35,590.66,9.75,0,1.22,2.07,0,0,4.9,17,78.24,2.75,1.14,1.46,4670.93,0.62,3.47,7.87,0,1.51,10.61,0,0,171.83,2.52,4.31,21.1,0.61,0
108-118,0,0,1.76,0,49.65,1.44,3.74,699.3,2.87,1.92,0.5,604.02,3.21,0,0,0.63,0,0,1.38,7.76,84.66,1.14,0,0.42,5351.35,1.51,5.3,5.29,0,3.71,12.05,0,0,196.91,7.74,0,25.29,0,6.82
120,0,0,2.14,0,48.11,25.15,17.35,641.2,2.05,15.78,2.41,830.28,5.81,5.2,0,12.12,15.24,3.86,0,14.66,80.63,2.91,0,11.86,7188,0,0,10.95,0,3.68,2.55,0,0,170.4,0,2.09,31.5,0,0
