stage,axial,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,41.28,0,0,0,0,0,0.92,0,0,0,1,0,0,0,0,0,0,0,1.42,0,0,41.28,0,0
 24-34,0,0,7.75,0,0,0,0,0,9.51,0,1.01,0,0.67,0,1.33,1.45,0,0,0,0,0,0,0,158.69,0,0
 36-46,0,0,0.71,0,0,0,1.43,0,7.52,0,0,0,0,0,13.98,0,0,0,0,0,0,0,0,174.08,0,0
 48-58,0,0,7.42,8.71,0,0,0,0,22.11,0,0,0,0.43,0,16.58,0,0,0,0,0,0,1.87,0,197.67,0,0
 60-70,0,0,21.01,0.72,0,0,0,0,24.32,0,1.42,0,5.58,8.06,10.58,0,0,1.33,0,0,0,0,0,383.36,0,0
 72-82,0,0,9.33,15.07,0,0,0.74,0,44.92,0,0,0,11.1,0,1.61,0,1.33,2.26,0,0,0,0,3.41,512.84,1.45,4.66
 84-94,0,0,0,11.36,0,0,0,1.26,23.27,0,7.3,0.57,16.87,2.76,15.38,0,0,7.08,0,0,0,0,0.58,561.95,0,0
 96-106,0,1.1,2.12,10.3,0,1.02,2.14,0,42.62,0.58,0,0,28.23,0,13.57,0,0,3.89,0,1.51,0,0,0,620.8,0,0
108-118,0.56,0,1.99,2.51,0,0,4.17,0,25.81,0,0,0,11.76,0,5.63,0,0,3.42,0,1.41,0,0,0,611.24,0,0
120,0,0,0,12.47,2.48,0,0,0,46.9,0,0,1.67,16.31,0,36.17,0,0,0,1.9,0,0,0,0,653.83,0,0
