stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,262.32,4864.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.86,0,0,0,0,0,0,0,0,0,0,0
  5-6,111.63,4688.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.3,6.07,0,0,51.83,0,89.35,0,0,0,0,0,0,0,0,0,0,0
  7-9,55.69,196.99,0,225.17,0,0,0,418.49,0,0,0,0,95.98,0,0,0,0,0,0,0,0,0,0,0,5310.22,40.07,0,0,900.2,0,0,45.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,68.39,0,162,0,0,0,242.86,0,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0,0,2659.24,46.4,0,0,343.8,0,0,11.27,0,34.24,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.1,45.74,10.5,0,6.83,0,0,0.82,0,0,0,0,0,0,0,0,0,22.24,0,0,13.05,112.72,4.43,1.55,1.89,1.34,0,23.2,2.35,10.9,0,1.9,6.76,36.66,0,0,3.49,0,1.91
 24-34,0,0,0.96,0,12.7,1.72,0,6.31,0.75,0,1.87,1.08,0,2.19,2.7,2.07,0,1.09,0,0.64,36.91,0,0,20.55,147.48,0,6.56,4.82,0,0.99,41.07,0,0,0,1.16,1.88,37.84,0,0,46.54,0,8.95
 36-46,0,0,0,0,6.27,1.28,0,25.99,0.62,1.91,5.39,0,0,2.55,0,0,0,0,0,0.7,44.56,0,1.12,6.07,153.06,0,7.05,0,0,0,14.62,0,0,0,0,0,27.32,0,0,26.52,0,16.02
 48-58,0,0,0,0,3.18,4.33,0,27.41,3.47,0,4.94,0,0,1.1,0,0,0,0,0,11.24,27.55,0,1.09,6.62,103.21,0,0.78,1.09,0,0,8.35,0,0,0,2.07,0,19.67,0,0,14.87,0,28.16
 60-70,0,0,0,0,6.49,5.43,0,67.8,0,1.34,6.01,0.72,0,0,0,0,0,1.16,0,6.94,34.41,0.58,7.78,0.58,74.9,0,1.11,19.82,0,0,12.01,0,0,0,8.52,0,13.89,0,0,24.58,0,73.65
 72-82,0,0,0,0,8.47,2,0,50.4,0,1.36,5.77,0,0,0,0.49,0,0,0,0.98,0,21.38,0,2.6,1.13,71.26,0,4.47,0,0,0,5.85,0,0,0,0,0,4.75,0,2.2,34.38,0,12.91
 84-94,0,0,0,0,14.61,14.94,0,17.76,0,1.85,6.23,1.45,0,2.61,0,1.1,3.05,0,0,7.53,24.65,0,5.59,1.9,53.03,0,1.39,0,0,0,8.17,0,0,0,0,0,12.51,0,2.06,29.56,0.81,20.65
 96-106,0,0,0,0,2.33,0.86,0,6.19,1.54,0.81,21.23,1.84,0,0,2.07,0,3.51,1.32,10.25,3.12,13.43,0,5.15,2.25,61.42,0,0,0,0,0,7.68,0,0,0,0,0,0,1.14,2.89,75.11,1.85,22.95
108-118,0,0,0,0,9.36,3.21,1.15,10.24,0.5,3.24,7.48,4.12,0,0,6.84,0,1.89,0,0,1.61,14.87,7.11,0,1.08,53.33,0,1.24,0.55,0,0,18.48,0,0,0,0.49,0,5.71,0,0,41.02,0,8.74
120,0,0,0,0,1.6,0,0,43.79,1.35,0,31.08,1.34,0,0,12.58,0,0,0,0,0,38.22,0,0,0,64.82,0,1.29,0,0,4.48,10.4,0,0,0,0,0,20,0,0,48.04,4.22,0
