stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.54,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,521.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,2.42,0.82,0,0,3.18,0,0,0,1.08,0,0
 24-34,0,0,1.91,647.89,0,9.12,0,0,0,2.2,0,0,0.94,1.41,0,0,0,0,6.82,0,0,3.69,98.43,0,0,0,0,0,3.82,0,0,11.52,0.65,11.41,0,0,3.06,0,0
 36-46,0,0,0,924.06,0,5.82,0,0,0,2.33,0,0,0,0,0,1.17,0,0,5.42,0,0,1.11,91.21,2.79,0,0,0,0,7.93,0,0,0,0,4.22,0,0,1.76,0,0
 48-58,0,0,0.54,1629.68,0,35.34,0,0,0.7,15.41,0,0,0,0,0,0.41,0,0,14.1,0,0.5,1.83,89.47,0,0.79,0,0,0,7.46,0,0,0,0,28.27,0,0,6.58,0,7.01
 60-70,0,0,7.24,2007.35,0,77.14,0,0,0.68,22.99,0.65,0,4.28,0,0,0.67,0,0,34.39,0,0,9.1,137.04,0,1.19,0.99,0,0,7.46,0,0,0,0,33.25,0,0,3.07,0,4.41
 72-82,0,0,3.51,3511.27,0,75.03,0,1.77,0,10.68,1.1,0.66,0,1.07,0,2.18,12.09,0,30.35,0,0.88,5.96,170.85,0,6.55,0,0,0,1.78,0,0,0,0,17.11,0,0,13.38,0,3.38
 84-94,0,0,4.13,3212.12,0,93.81,2.56,0,0,4,5.96,0,10.69,0,6.85,0,0,0,28.69,2.26,0,5.19,64.96,0,2.19,0.92,0,0,4.1,0,4.53,0,0,8.87,0,0,8.67,4.9,9.28
 96-106,0,0,4.4,5785.87,0.59,48.48,2.58,0,0,13.83,3.98,3.92,2.18,0,0,3.02,2.09,3.05,43.24,5.58,0.75,7.35,168.94,0,1.16,0.68,0,0,21.79,0,0.59,0,0,8.68,4.64,1.88,20.14,6.38,5.74
108-118,0,7.26,7.41,3685.52,2.18,37.12,1.8,0.5,0,10.74,4.39,2.42,4.83,1.05,2.5,0.96,0,0,38.23,8.86,0,1.31,116.01,0.69,2.38,0,0,0,14.59,0,0,0,0,2.11,0,0.85,12.87,1.7,0
120,0,0,10.86,4441.38,0,61.56,0,0,16.69,21.6,6.37,0,20.8,1.4,3.14,0,0,0,76.85,0,0,24.91,135.21,7.14,0,0,0,8.63,4.54,0,1.73,13.04,0,0,0,1.52,24.22,0,0
