stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,21.83,511.26,0,0,0,0,0,0,0,0,0,11.27,0,0,0
  5-6,12.72,242.26,0,0,0,0,0,0,82.57,0,0,0,0,0,0
  7-9,4.39,0,3.95,0,5.16,6.77,0,0,89.72,3.43,48.59,0,0,0,0
 10-12,0,0,6.82,0,6.03,3.85,0,0,64.25,15.67,15.8,0,0,8.15,0
 14-21,0,0,0,2.15,0,0,0,0.82,1.71,0,0.91,0,0.91,0,0
 24-34,0,0,0,0,0,0,0,0,4.87,0,0,1.37,0,0,1.17
 36-46,0,0,0,0,0,0,0.77,0,1.26,0,0,0,0,0,0
 48-58,0,0,0,0,0.38,0,0,0,0.68,0,0,0,0,0,0.81
 60-70,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0
 96-106,0,0,0,0,0,0,5.06,0,1.49,0,0,0,0,0,0
