stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,0,1.04,1.65,0,0,0,0,0,0.99,1.25,0,0
 24-34,0,0,0.76,0,0,0,0,0,0,5.35,0,0,1.24,15.81,0,0.95,0,0,0,0,7.08,0,0
 36-46,1.66,0,5.22,0,0,0,0,0,0,2.27,0,0,0,33.02,2.75,2,0,0,0,0,3.53,1.03,0
 48-58,0,0,5.28,0.67,0,11.48,0,0,0,4.51,0,0,0.38,30.51,0,20.45,0,0,0,0,6.58,0.54,0
 60-70,0,0,18.37,0,0,3.57,0,0.87,0,10.85,2.63,0,0,57.38,0,34.42,0,0,3.56,0,11.07,0,0
 72-82,0,0.72,20.23,0,2.27,0.55,0.49,0,0,16.46,0,1.23,0,56.44,0,0,3.04,0,0,0,0,0,0
 84-94,0,0.6,20.37,0,0.86,0.61,0.65,0,5.33,2.56,0,0,1.13,21.15,0,0,0.88,1.76,0,0,0,1.75,0
 96-106,0,0,7.04,0,0,0,2.57,0,0,4.07,0,0,0,26.53,0.79,69.24,0,2.16,0,0,0,0,0.64
108-118,1.9,1.91,4.78,0,4.07,2.97,0.67,0,0,28.41,0,0,0,27.47,0,8.81,0.66,0,0,0,0,0.49,0
120,0,0,15.9,0,0,6.26,2.44,0,0,6.34,0,0,0,82.43,2.28,1.77,0,0,0,0,0,0,0
