stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,muscle,neural,olfactory,periderm,somites,spinal_cord
  5-6,8.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,11.84,0,0,0,0
 14-21,0,0,0,1.5,0,0.83,0,14.43,0,3.53,0.89,3.87
 24-34,0,0,0,0,0,1.18,0.98,16.32,0,6.06,0,8.47
 36-46,0,0,0,0,0,0,0,12.77,3.73,0.62,0,6.04
 48-58,0,0,0,0,0.48,0,1.15,0.96,44.01,0.59,0,1.17
 60-70,0,0,0,0,0,0,0,0,9.31,0,0,0
 72-82,0,0,0,0,0,0,0,0.81,68.46,0.71,0,0
 84-94,0,0,0,0,0,0,0,0,25.82,1.01,0,0
 96-106,0,0,0,0,0,0,0,0,44.06,1.13,0,0
108-118,0,0.41,0,0,0,0,0,1.28,24.36,0.59,0,0
120,0,0,0,0,0,0,0,0,27.74,0,0,0
