stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,11.51,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.57,0,0,0,0,0,0,0,0,11.46,0,0,7.87,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,27.81,4.73,0,0,0,18.23,0,0
 14-21,0,0,0,0,0,0,0,0,1.76,5.1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,23.24,0,0,0,0,0,4.11,2.3
 36-46,0,0,0,3.24,0.8,0,0,0,0.64,40.81,0,0,0,0,0,2.35,0
 48-58,0,0,0,3.63,0.83,1.28,0,0.51,0.47,4.69,0,0,0,0,0,0.99,0
 60-70,0,0,0,4.4,9.29,7.57,0,0,0,9.94,0,0,0,0,0,0.6,0
 72-82,0,0,1.42,1.82,0.54,5.57,0,1.08,0,6.96,0,1.32,0,0,0,1.38,0
 84-94,0,0,0.68,0,0.77,6.39,0.61,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.44,0,2.89,3.23,0,0,0,2.86,0,0.73,0,1.65,0,0,0.61
108-118,0,0,0,3.79,0,1.02,0,0,0.71,2.73,0,0,0,0,0,0,0
120,0,0,0,0,0,6.75,0,0,0,13,0,0,0,0,0,0,0
