stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,immune,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  5-6,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,17.11,0,3.74,0,0,0,0,0,0
 14-21,0,0.9,0.81,0,0,0,0,0,0,0,2.06,0,0,0,2.44,1.85,3.42,0,0
 24-34,0,0,1.34,0,0,0.87,0,0,0,1.6,15.87,0,0,0,0,0,1.94,0,0
 36-46,0,0,0,2.79,0,0,0,1.51,0.83,0,6.24,0.71,0,3.4,0,0,0.86,0,0
 48-58,0,0,0,4.63,0,0,0,0,3.83,0,8.08,0,0,0,0,0,1.53,0,0
 60-70,0,0,0,2.92,0,0,0,0,0,0.58,3.02,0,0,0,0,0,3.16,0,0
 72-82,0,0,0,2.03,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0.93,0
 84-94,0,0,0,0.61,1.41,0.89,0,0,1.94,0,4.57,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.49,0,0,0,0,0,0,3.13,0,0,0.71,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.09,0.92,0.79,0,0,0.47,0,0,0,0,0.59
120,0,0,0,0,0,0,1.06,0,1.45,0,0,0,0,0,0,0,0,0,0
