stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,14.36,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.04,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.83,15.93,0,0,26.69,0,0,22.3,0,3.28,0,0,0,0
 14-21,0,0,2.57,24.23,15.05,4.64,0,0,94.75,0.85,0,0,0,0,0,0,17.45,0,0,9.72,140.83,4.37,16.17,37.75,13.92,1.52,6.71,84.51,6.19,299.06,0,0,0,0
 24-34,0,2.51,1.99,1.85,0.91,4.44,0.62,0,77.37,0,0,0,0,2,0,0,13.25,0,0,10.62,147.9,0.75,43.66,1.59,0,1.86,0,13.85,0.71,151.04,0,8.59,0,0
 36-46,0,0,0,25.8,0,3.61,0,0,60.81,0,0,0,0,1.09,0,0,24.6,0,0.8,3.96,98.68,3,50.56,5.27,0,4.42,0,4.05,0,94.44,0,0.72,0,0
 48-58,0,0,0,1.53,0,14.61,0,0.85,50.16,0,3.28,0,0,0,0,0,5.32,0,0.56,1.77,82.17,0,44.13,11.01,0,0,0,7.01,0,118.89,0,0,0,3.69
 60-70,0,0.57,0,10.94,0,25.01,1.5,1.83,25.48,4.15,0,0,0,4.13,3.22,0,8.65,1.53,0.7,0,67.48,0,34.5,12.76,0,0,0,19.07,0,43,0.73,0,0,0
 72-82,0,0.87,0,1.62,0,8,0,1.67,45.73,0.84,0,0,0,4.65,0,0,8.6,0,0,2.9,65.04,0,55.26,2.83,0,1.34,0,1.15,0,6.76,1.56,0,2.24,5.24
 84-94,0,0.73,1.75,2.49,0,15.41,0,0.82,22.83,0,3.89,0,0,2.94,0,2.78,22.13,0,0.66,2.34,24.32,0,32.71,3.48,0,0,0,5.91,0,26.63,1.26,0.77,2.23,4.79
 96-106,0,0,0,1.3,0,3.94,0,0,24.36,0.69,0.83,0,0,9.5,0,0.58,12.98,0,0,1.71,32.96,0,54.27,5.93,0,0,0,3.71,0,10.76,0,0,3.72,0
108-118,0,0,0,2.31,0.72,2.07,0.54,0,36.03,0.45,0,0,0,9.14,0,0,19.23,0,0,0,34.91,1.12,53.69,1.71,0,0.71,0,4.64,0,17.86,0,0,2.01,0
120,0,0,0,0,0,0,0,0,3.97,0,0,2.21,6.33,1.07,0,0,4.34,0,0,0,4.1,0,102.03,0,0,0,0,11.31,0,7.63,1.52,0,4.27,0
