stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,44.94,299.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0
  5-6,6.18,294.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.61,0,0,11.31,0,0,0,0,0,0,0,0,0,0,0,0,0,78.77,0,0,24.44,0,5.34,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,0,0,5.73,0,4.49,0,0,0,0,0
 14-21,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,3.87,3.18,2.21,0,0
 24-34,0,0,0,0,0,3.25,0,0,0.72,0,0,0,0,0,0,0,7.38,0,0.63,0.87,0.61,0,0,1.14,0,1.45,2.06,9.43,0,0
 36-46,0,0,0,0.68,0,0,0.64,0,0,0,0,0.75,0,0,0,0,19.62,2.55,3.69,6.82,0,0,0,0,0,0,0,2.65,0.62,0
 48-58,0,0,0,0,0,1.34,1.79,0,0,2.01,0,0.51,0,0,0,1.56,26.59,0.86,13.38,3.03,1,0,0,0,0,0,0,11.79,0,0
 60-70,0,0,0,0,0,1.91,2.8,2.09,0,12.04,0,0,0,0,0,0,37.27,11.01,6.37,19.42,0,0.91,0,0.71,0,0,0,4.23,1.19,0
 72-82,0,0,0,0,0,0.88,1.25,0,0,10.75,0,0,3.35,0.69,0,0,39.46,1.95,7.33,7.97,0,0.51,0,2.82,1.26,0,0,14.12,0,1.87
 84-94,0,0,0,1.73,0,1.85,1.23,0,0,5.46,0.97,0,0,0,0,0,77.6,1.92,3.15,18.74,0,0,0,2.68,0,0,0,14.99,0,0
 96-106,0,0,0,1.65,0,8.75,3.79,0,0,19.46,0,0,0,0,1.29,0,55.91,3.67,0,22.37,0,5.24,0,9.86,0,0,0,0,0,1.72
108-118,0,0,0,1.46,0,0.62,3.41,0,0,27.45,0,0,0,0,0,2.53,51.2,0,3.34,11.49,0,3.37,0,15.8,0.44,0,0,0,0,0.57
120,0,0,0,3,0,8.99,5.23,0,0,0,0,0,0,0,0,0,51.5,2.13,1.32,5.61,0,2.38,0,0,1.33,0,0,8.42,2.15,0
