stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,476.66,20004.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.48,0,0,0,0,0,0,0,0
  5-6,237.86,3406.94,6.55,0,0,0,0,0,0,0,0,0,0,0,81.09,0,0,0,44.54,0,0,0,0,0,0,0,0
  7-9,5.05,22.02,0,0,41.76,0,0,0,0,14.51,0,0,0,0,474.6,0,0,95.29,3.28,22.94,0,0,0,0,0,0,0
 10-12,0,0,17.38,0,56.77,0,0,0,0,11.29,0,3.73,0,0,293.61,0,0,40.6,0,14.05,0,0,0,0,0,0,0
 14-21,0,0,0,1.62,1.48,0,0,0,0,0,0,0,0,0.93,26.54,0,0,2.28,0,0,1.07,1.28,2.94,7.49,6.81,0,0
 24-34,0,0,1.86,0.69,3.96,0.81,0,1.52,0.85,0,1.12,0.66,3.62,0.77,26.52,0,0.68,0,2.11,0,0,21.66,1.74,4.52,6.42,0.75,0
 36-46,0,0,0,0,3.09,0,0,0,0,0,0,0,0.58,1.22,17.16,0,0,0,0,0,0,39.01,0,0,0,0,0
 48-58,0,0,0,0,1.58,0,0.67,0,0,0,0,0,1.81,0,4.73,0,0,0,0,0,0,27.51,0,0,17.91,0,0
 60-70,0,0,0,0,4.07,0,9.29,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,34.53,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.95,0,0,0,0,0,1.74,0,4.89,0,1.86,0,1.16,0,0,16.8,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,1.58,0,0,0,0,0,0,20.71,0,0,1.88,0,3.92
 96-106,0,0,0,0,4.45,0,0,1.12,0,0,0,0,0,0,0.67,1.83,1.14,0,0,0,0,3.36,0,0,0,0,0.91
108-118,0,0,0,0,0.56,0,0,1.2,0,0,0,0.9,1.63,0,10.5,0,0,0,0,0,0,9.01,0.46,0,0,0,0
120,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0
