stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,visceral_smooth_muscle,xanthophores
  3-4,56.27,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0,0
  5-6,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.77,0,4.43,0,0,0
 10-12,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.28,0,0,0,0,1.3,0,0,0,0,0
 84-94,0,0,0,0,1.74,3.62,4.59,0,0,0,0,0,0,0,0,0
 96-106,0,0,11.97,0,0,2.29,60.97,0,0.92,0,0,0,0,0,0,0
108-118,0,3.86,16.07,0.45,0,1.49,322.45,0,6.85,0,26.67,0.72,0,0,0,2.47
120,0,0,0,0,0,11.51,414.47,0,0,0,29.62,0,0,0,3.35,0
