stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.67,525.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.16,464.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0,0
  7-9,6.18,0,0,6.05,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.49,4.06,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.57,0,4.95,0,32.4,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,476.29,33.3,0,0,43.84,0,0,0,8.66,0,0,0,0,0,0,0,0
 14-21,2.31,8.65,0,3.16,43.26,4.5,0,32.6,0,0,7.24,3.61,0,3.82,0,0.87,0,7.1,0,42.87,0,18.07,278.28,15.47,0.92,1.91,8.37,0,0,46.2,1.05,7.48,37.44,91.34,0,0,0,0,2.45
 24-34,0,0,0,2.17,15.92,0,0,91.7,0,2.73,16.18,3.3,0,2.2,0,0,2.19,10.69,0,71.94,2.43,34.51,294.59,3.26,2.02,5.43,0,0,0.89,0,20.73,0.88,14.83,85.36,0,0,14.05,0,5.91
 36-46,0,0,1.83,0,10,0,0,53.42,0,3.53,11.24,0.62,0,0.56,0,1.3,2.16,2.86,17.15,113.02,0.71,20.79,138.29,2.41,0,2.77,0,0.97,0,0,40.5,0,0,53.06,0,0,14.45,0,5.21
 48-58,0,1.29,0,0,9.83,0,0,83.1,3.78,7.58,45.1,8.14,0,0.99,0,0.43,0,9.56,4.53,128.67,2.06,11.72,119.51,5.03,0,0.8,0,1.72,0.38,0,12.75,0,0,60.95,0,0.4,9.36,0,5.79
 60-70,0,0,0,0,5.47,0,0,48.34,3.02,19,100.14,14.21,0,0,0,2.83,0,7.24,0,181.29,3.34,16.69,101.34,1.32,1.27,2.8,0,0,0,0,18.31,0,0,15.63,0,2.32,1.91,0.81,7.01
 72-82,0,0,1.65,0,2.93,0.55,0,65.88,5.31,15.56,130.67,52.78,0,2.85,0,0,0.61,24.73,0,187.59,5.25,15.57,66.75,4.03,1.49,11.65,0,2.49,0,0,49.39,0,0,1.81,0,5.45,15.73,5.12,4.37
 84-94,0,0,1.44,0,8.62,0.69,2.96,93.75,0.64,19.68,94.82,100.38,0,1.75,0.69,0.82,2.24,27.48,0,169.85,13.96,7.83,48.61,2.48,0,4.11,0,3.75,2.26,0,117.75,0,0,6.43,0,4.01,0.89,6.6,0
 96-106,0,0,3.69,0,4.68,0,2.45,64.34,0,13.91,88.13,122.38,0,0,6.25,0.61,0.57,29.18,0.57,124.01,6.84,15.02,55.26,4.93,6.98,6.85,0,1.04,14.04,0,96.42,0,0,7.44,0,0,12.11,5.59,0
108-118,0,0,0,0,8.05,0,5.25,98.1,0,6.58,98.93,199.11,0,1.35,0,1.31,2.51,35.44,1.49,148.05,3.28,11.61,94.98,2.57,2.17,5.74,0,6.49,2.43,0,117.22,0,0,2.94,0.54,1.33,7.54,4.96,9.3
120,2.23,0,3.29,0,2.87,0,2.35,42.76,0,0,158.39,248.86,0,0,0,4.52,0,49.52,0,257.3,17.4,26.58,200.22,1.1,0,23.52,0,0,1.2,0,91.92,1.99,0,0,0,0,15.49,13.99,0
