stage,axial,blastomeres,eye,hatching_gland,neural,paraxial_mesoderm,somites,vasculature
  3-4,0,156.1,0,0,0,0,0,0
  5-6,10.74,185.2,0,0,0,0,0,0
  7-9,0,0,4.43,11.98,109.71,21.04,0,0
 10-12,0,7.32,5.2,0,25.93,7.05,5.41,0
 24-34,0,0,0,0,0.88,0,0,0
108-118,0,0,0,0,0,0,0,0.48
