stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.53,116.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.31,0,11.71,0,0,0,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.37,0,0,0,23.55,0,3.31,0,0,0,0,0,0,0,0,0
 10-12,0,19.53,0,13.74,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.62,0,0,0,80.58,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,138.21,2.91,0,2.57,0,0.82,0,3.87,1.67,1.92,0,0.86,0,0,0,0,18.23,0,0,8.51,76.4,0.99,1.08,10.94,3.89,0,9.75,4.04,4.66,1.21,19.79,0,0,0,0,0
 24-34,0,0,0,1.57,133.21,3.35,0,12.55,0,16.74,1.44,7.25,0,0.76,0,0.62,0.7,6.77,0,0.74,54.97,0,0,8.97,277.08,5.27,9.05,8.02,0,0,56.99,0,19.99,0,76.37,0,0,15.85,0,0
 36-46,0,0,0,0,99.54,0.6,0,12.96,0,39.3,0,16.35,0.56,3.01,0,0,0,4.95,0,0,49.75,0,0.77,9.69,302.18,10.49,4.68,21.49,0,0,81.46,0,39.17,0,70.09,0,0,11.53,0,0
 48-58,0,0,0,0,111.98,0,0,33.86,0,49.16,2.05,31.14,0,1.71,0,0,5.04,1.77,0,3.07,87.3,0.82,3.1,9.15,543.38,7.12,7.7,36.37,0,0,110.21,0,2.34,0,108.02,0,0,27.21,0,0
 60-70,0,0,0,0,105.69,0.81,0,82.88,0,39.93,1.5,64.38,0,0,5.35,2.32,0,1.54,0,0,155.27,2.38,6.98,3.17,781.81,9.73,6.36,10.54,0,0,116.45,0,20.61,0,89.92,0,0,31.3,0,0
 72-82,0,0,0.98,0,86.35,0,0,144.58,0,38.63,1.91,131.13,0.7,3.55,6.98,1.61,0,5.14,1.08,0,204.73,1.8,7.09,5.17,783.66,1.76,7.92,30.46,0,0,79.62,0,28.58,0,70.61,1.44,1.35,27.2,0,7.32
 84-94,0,0,1.19,0,145.42,4.41,0,124.98,0.55,77.6,0,103.83,1.63,0,10.47,0.69,2.94,4.66,0.82,0,159.01,6.53,9.24,6.16,639.32,3.14,11.91,23.81,0,0,184.38,0,50.1,0,57.13,1.02,0,21.35,3.33,0
 96-106,0,0,0,1.03,142.55,8.04,5.91,136.46,0.93,45.41,0,93.86,2.7,3.09,6.23,1.55,1.32,19.22,14.64,0,61.52,2.57,9.91,5.28,579.27,0.91,12.14,18.45,0,1.05,148.57,0,55.86,0,44.99,6.33,0.75,27.41,2.59,0
108-118,0,0,0,0.44,162.98,0.52,0,136.54,0,66.78,1.64,134.9,2.83,3.6,7.1,5.58,0.55,8.74,0,0,66.55,4.09,2.83,2.25,612.67,1.37,11.89,32.04,0,0.76,90.09,0,70.37,0,31.03,4.63,1.41,18.29,2.03,0
120,0,0,0,4.41,253.82,3.71,0,213.1,0,80.87,0,101.72,3.29,0,15.75,0,0,3.5,3.74,0,124.85,0,15.4,0,953.26,0,12.3,32.19,0,0,150.14,0,89.94,0,48.3,2.28,0,42.8,0,0
