stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,liver,neural,paraxial.mesoderm
  3-4,0,81.12,0,0,0,0,0,0,0
  5-6,19.02,505.1,0,0,0,0,0,18.07,20.05
  7-9,0,0,51.49,5.98,32.44,7.69,0,389.02,57.54
 10-12,0,13.04,0,0,5.57,0,0,48.28,0
 14-21,0,0,0,0,0,0,1.16,1.12,0
120,0,0,0,0,0,0,0,9.88,0
