stage,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,mesenchyme,neural,notochord,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 24-34,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,0,0,0.93
 36-46,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.15,2.21,0,0,0,0,0,0,0,0,5.37
 72-82,0,0,0,0,68.78,0,0,0,6.86,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,67.12,0,0,0,1.54,0,0,0,0,0,0,0,0,9.97
 96-106,0,3.91,165.9,1.07,511.62,0,3.76,1.76,26.21,1.21,0,5.51,0,0,0,0,0,0
108-118,0,0.76,6.33,0,1106.13,20.88,0,18.25,19.38,0,1.13,1.84,1.04,4.26,0.69,1.83,0,0
120,1.18,0,13.71,16.39,3115.14,0,0,7.73,25.22,0,0,2.59,0,0,0,2.42,3.81,0
