stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,25.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.95,0,0,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,35.21,0,0,0,5.37,0,0,0,0,0,0,0
 14-21,0,0,0,121.23,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0.99,0.93,0,0,0,0,0,0,0.94,0,0,0,0
 24-34,0,0,0,1248.87,0.9,0.77,0,17.32,0,2.02,0,1.23,0.99,0,0.6,6.31,47.15,17.93,28.19,70.37,9.07,0,0,0,1.63,3.46,6.71,0,0,0,0
 36-46,0,0,0,1777.59,0.6,4.73,2.12,77,0,0.66,0,0,0,0,0,0,101.55,27.62,18.76,60.06,0,1.16,0.62,0,0,0,1.54,0,0.6,0,0
 48-58,0,0,0,1299.09,0,20.85,0,106.87,2.61,12.28,0,0,0,0,0,0,79.63,8.47,11.14,51.05,5.29,0,2.22,0,7.95,0,16.14,0,0,0,0
 60-70,0,0,0,1301.35,0.57,10.24,0,114.81,0,1.3,0,0,0,0,0,0,85.8,16.36,3.5,24.72,0,0,0,0,0,0,3.39,0,0,0.71,0
 72-82,0,0,0,846.97,1.19,24.53,0,65.88,0,1.42,0,0,0.56,0,0,0,86,15.23,2,16.65,0,0.83,0,0,1.76,0,5.49,0,0,0,0
 84-94,0,0,0,1780.89,0,19.34,0,147.44,0,0,1.11,0,0,0.62,0,0,78.46,13.76,0.75,3.97,0,3.34,0,0,0,0,0,0.85,0,1.64,0
 96-106,0,0,0,1248.41,2.38,29.74,1.42,79.41,0,12.64,0,0,0,0,0,3.52,72.36,13.51,0,19.03,0,1.3,0,0,0.94,0.78,0,0,0,0,2.89
108-118,0,0,0,1210.78,1.22,11.18,0,128.69,0,5.19,1.21,0,0,0,0,1.74,53.93,6.17,0,7.69,0,2.02,0,0,6.5,0,0,0,0,0.48,0
120,0,0,0,849.39,0,5.74,0,97.02,0,2.5,0,0,0,0,0,0,61.09,15.45,0,35.08,0,1.46,17.52,0,17.24,0,0,0,0,0,0
