stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0.94,1.62,3.36,0,0,0
 24-34,0,1.71,0.61,0,0,1.87,0,0,0,0,0,6.18,0,0,133.41,1.03,0,0,0,18.48,0,0,0,2.77,0,0,5.51,0,0,3.74
 36-46,0.94,0,1.07,0,0,6.68,0,0,0,0,0,0,2.38,0,78.96,11.2,2.44,0,1.06,29.76,0,0,0,0,0,0,5.51,0,1.07,16.28
 48-58,0,0,0.94,0,0,2.26,0,0,0,0,0,0,5.67,0,125.48,15.23,5.93,0.56,0,26.11,0.65,0,0,0,0,0,5.19,0,1.03,14.28
 60-70,0,0,4.22,0,0,17.09,1.96,0,14.53,0,0,0,36.01,0.8,244.04,42.73,2.74,0.69,0,63.34,0,0.89,0,0,0,0,2.65,0,0,121.4
 72-82,0,0,0,5.01,0,21.8,0,0,2.42,0,0,0,22.29,0,177.88,6.09,6.03,0.57,0.85,39.61,0,1.44,0,0,0,0,1.49,0,0,39.02
 84-94,0,0,1.37,1.47,0,5.1,0,0,0,0,0,0,11.95,0,105.87,36.25,1.39,0,0,35.88,0,0,0,0,0,0,0,0,0,13.31
 96-106,0.81,0,18.12,11.77,0,23.42,0,2.3,2.93,3.24,1.98,2.44,91.82,0.58,544.26,55.08,148.21,1.69,0,211.29,9.79,3.56,1.04,8.94,0,0,5.77,0,7.62,37.96
108-118,0,0,0.72,1.31,0,9.48,0,14.59,8.01,0,2.24,0,50.41,0,341.85,14.29,19.7,0.83,0,45.65,0,1.44,1.12,0,0,0,1.58,1.46,1.34,30.65
120,0,0,0,2.61,2.02,6.25,0,0,0,0,0,0,24.37,0,95.08,4.92,7.07,0,0,59.68,0,0,0,0,0,0,7.32,0,0,0
