stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,0,0.96,3.88,0,1.02,0,0,0,0,0,0,0,0,0,0,2.61,3.29,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,11.35,0,0,0.79,4.37,0
 36-46,0,0,0,0,1.86,0,0,0,0,0,0,0,3.18,0,0,0,4.62,0,0,1.26,1.4,0
 48-58,0,0,0,0,3.8,0,0,0,0,0,0,0,0.51,0,0.44,3.68,8.74,0,1.77,3.98,1.18,1.59
 60-70,0.86,0,1.7,0,1.23,0,0,0,0,0,0,0,1.94,0,0,0,4.9,0,0,0,0,0
 72-82,0,0,0,0,7.05,0,0,1.31,0.54,0,0,0,5.58,0,0,0,9.17,0,0,0,0,0.87
 84-94,0,0,0,0,1.77,0,0.91,0,0,1.87,0,0,0,0,0,0,3.91,0,0,0.61,0,0
 96-106,0,0,0,2.99,6.89,0,0.69,0.78,0.59,0,0,0,0.84,0,0,0.7,10.75,0.6,0,0.75,0,0.65
108-118,0,0,1.12,2.85,6.97,0,0,0,1.88,0.8,0.65,1.11,5.53,0,0,0,3.16,0,0,1.5,0,4.76
120,0,0,0,0,0,17.92,19.12,0,3,1.25,0,1.01,2.03,1.46,0,0,5.99,0,0,7.27,0,0
