stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,30.52,1.52,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.24,0,32.5,0,0,0,0,0,0,1.61,265.23,0,0,0,0,0
 24-34,0,0,36.51,0,5.21,1.24,0,27.67,0,0.82,0,3.4,0,0,0,0.77,0,0,0,0,3.14,0,0,3.69,3240.31,0.62,296.89,0,0,8.93,0,0.83,0,0.71,1260.2,0,0,1.65,0,0
 36-46,0,0,30.83,0,7.18,0.7,0,34.35,5.64,0.69,0,26.04,0,0,0,1.15,0,0,1.51,5.92,6.52,0,0,1.3,7959.51,0,559.91,6.53,0,2.67,0,0,0,0,1624.69,0,0,2.68,0,0
 48-58,0.58,0,11.93,0,12.57,0.73,0,207.57,0,1.44,0,23.39,0,0,0,3.62,0,0.39,0.65,4.24,20.13,0.42,0.55,5.52,10375.2,5.12,298.1,0,0,2.44,0,0,0.69,0,987.36,0,0,3.11,0,3.22
 60-70,0,0,7.87,0,12.81,0,0,553.18,1.71,0,2.35,138.89,0.85,0,4.81,0,0,0,0,2.53,29.13,0,0,9.46,14217.8,2.95,368.31,7.53,0,1.48,0,0,1.01,0,1241.95,0,0,0.7,3.02,18.97
 72-82,0,0,18.44,0,27.31,0,0,1098.62,0,2.05,10.61,172.91,2.7,0.73,1.69,0,0,0,0,0,71.3,0,2.11,0.56,17478.78,0,597.74,0.75,0,7.14,0,0.73,0,0,871.84,6.33,0.61,9.07,2.63,4
 84-94,0,0,18.6,0,56.83,10.71,0,1092.72,0,0.66,1.18,150.36,2.67,0,3.33,0,3.31,1.38,0,0,45.14,0,0,3.39,11184.74,3.42,463.89,52.38,0,8.29,0,0,0,0,518.64,7.17,5.45,2.21,2.07,0
 96-106,0,0,17.86,0,86.68,16.16,0.63,1311.18,15.2,6.99,1.28,203.81,7.13,0,12.8,1.15,0,1.57,21.22,0,72.78,23.15,4.09,3.46,12800.04,0,1049.89,0,0,19.8,2.06,0,0,0,412.78,0.91,0,3.85,0.93,1.22
108-118,0,0,15.55,0,102.77,7.02,0,1513.54,0,6.37,0,227.61,5.4,0,9.7,2.58,3.13,0.45,7.48,3.38,70.43,1.22,0.98,0.92,15214.71,2.3,641.78,3.19,1.49,7.45,0,0,0,0,310.42,3.82,1.23,4.01,2.6,2.78
120,0,0,44.9,0,60.56,31.48,3.13,1340.4,0,1.73,23.56,172.29,3.65,2.63,8.45,0,6.33,0,2.42,3.24,107.73,0,0,0,18274.59,0,641.34,0,9.21,10.68,0,0,0,0,324.28,0,0,12.85,8.22,0
