stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,9.89,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,3.4,0,0,0,0,0,2.03,0,0,0,0
 24-34,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,61.76,0,0,0,0,0,0,9.7,0,0,0
 36-46,0,0,0,0,1.42,0,0,0,0,0,0,0,0.59,0,147.74,0,0,0,0,0,0,5.45,0,0,8.57
 48-58,0,0,3.23,0,9.15,0,0,0,0.48,0,7.67,0,0.62,0.51,231.4,0,0,0,2.48,0,0,2.61,0,0,2.23
 60-70,0,0,3.24,0,117.49,0,0,0,1.51,0,0,0,4.3,0,391.1,0,0,0,0,0,0,23.65,0,0,1.17
 72-82,0,0,9.26,0.77,166.18,2.62,0,0,5.75,0,0,0,3.67,0,610.22,0,0,0,0,0,0,7.82,0,0,0
 84-94,0,0,1.97,0,111.84,0,10.84,0,5.45,0,0,0.81,1.31,0,482.7,0,0,2.2,0,0,0,1.56,3.4,0.66,0
 96-106,0,0,3.05,7.94,121.68,0,0.56,0.64,11.44,0.66,0,0,1.6,0,424.24,0,0,0,0,0,0,6.49,0,0,0
108-118,0,0,9.08,0,118.47,0,0,0,7.39,0,0,0,3.6,1.13,472.11,0,0,0,0,1.41,0,9.87,0,0,0.97
120,0,0,14.75,0,262.3,0,1.41,0,10.83,0,0,0,34.51,1.82,583.48,1.45,3.27,0,0,0,0,0,0,8.08,0
