stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0
  5-6,0,86.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.76,0,0,0,14.65,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.99,0,0,0,122.35,0,0,49.77,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,31.74,63.48,0,2.11,0,0,0,6.35,0,10.77,0,0,0,0,0,0,9.26,0,0,14.21,31.49,0,0,0.85,0,0,0,0,9.62,0,93.22,3.29,110.53,0,162.58,0,0
 24-34,0,0,0,112.52,14.07,0,4.82,0,14.38,0,2.56,0,20.81,0,2.1,0,0,0,0,31.51,0.83,2.43,13.28,33.02,0,0,0,0,0,5.14,0,0,2.93,106.14,14.01,48.89,0,584.57,0,0
 36-46,0,0,0,35.53,0,0,3.1,0,47.56,2.07,10.95,0,19.22,0,0,0,0,0,0,121.92,0,4.16,1.66,73.87,0,0,0,0,8.55,0,0,0,0,28.93,1.49,34.06,1.37,374.14,0,0
 48-58,0,0,0,28.43,0.72,0,12.56,0,20.87,6.3,4.08,0,32.28,0,0,0,0,0,0.41,253.58,0,30.19,8.96,50.54,0,0,1.22,0,0.97,0,0,0,0,3.82,0,48.59,1.73,272.59,0,0
 60-70,0,0,0,15.88,4.64,0,1,0.58,15.36,2.58,0.78,0,38.04,3.55,0,0,1.59,0,0,508.8,2.41,119.8,6.24,35.26,0.98,0,0,0,1.66,0,0,0,0,3.27,0,15.29,35.61,131.71,25.06,0
 72-82,0,0,0,25.06,0,0,13.8,0,4.7,1.78,3.13,0,36.18,0,0,4.27,0,0,0,368.33,0,69.59,3.39,31.32,0,1.13,1.88,0,0,0,0,0,0,0,0,12.44,14.05,221.47,39.5,0
 84-94,0,0,0,49.22,0,0,19.47,0,3.07,4.67,2.96,0,21.34,0,2.55,0.65,0,0,10.48,359.01,0,74.02,3.27,18.01,0,0.57,7.86,0,1.68,0,0,0,0.81,0.79,0,14.78,19.03,237.33,60.43,0
 96-106,0,0,0,60.48,3.96,0.63,15.74,1.05,2.93,6.12,7.15,3.58,26.39,0,7.75,1.72,0,3.85,0.72,213.35,0,18.22,0.93,9.19,0.64,0,12.07,0,0,0.6,0,0,2.9,0,0,0,4.85,230.52,24.86,0
108-118,0.83,0,0,47.7,0,0,22.63,1.96,0.76,5.23,9.5,1.52,14.6,1.36,14.68,0,1.19,0,1.34,175.99,0,16.8,3.17,28.27,0.67,0.47,8.87,0,6.35,1.42,0,0,0,1.02,0,18.18,0,212.01,15.03,0.79
120,0,0,0,34.73,0,0,5.52,2.44,0,9.38,2.56,0,35.99,2.05,4.71,12.97,5.35,0,0,191.36,0,30.07,2.44,0,0,0,0,0,0,1.25,0,0,0,0,0,1.34,15.91,215.83,6.34,0
