stage,axial,blastomeres,erythrocytes,eye,glial,gut,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  3-4,19.82,58.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.98,0,0,0,0,0,0,8.22,0,0,3.33,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,23.83,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.6,0,0,0,0,0.61,0,3.7,0,0,0,0,0,0,0.73
 36-46,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0.65,0
 48-58,0,0,0,4.33,0.37,0,0.82,0,2.16,0,12.86,0,0,0,0,0.39,1.52,0
 60-70,0,0,0,7.31,0,0,0,0.6,0,0,2.82,0,0,0,0,0,1.62,0
 72-82,0,0,0,4.52,0,1.01,0,0,1.17,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.87,0,0,0,0,0,0,15.27,0,0,0,0,0.84,0,0
 96-106,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.53,0,0,0,0,0,0,1.88,2.55,0.69,0,0,0,0,0,0
120,0,0,0,4.79,0,0,0,0,0,0,0,0,1.91,0,11.71,0,0,0
