stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,144.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.97,0,0,0,0,0,0,0,0
  5-6,8.85,177.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.04,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.76,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.39,0,28.97,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,101.72,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.62,1.02,0,1.73,0,0,0,3.11,0,0,0,0,0,0,0,0,2.03,0,0,6.16,61.75,0,0,0.95,0.81,0,5.85,2.31,2.58,0,9.71,32.89,0,0,0
 24-34,0,0,0,0,4.1,0.69,0,8.5,0,0,0,4.69,0,0,0,0,0,0,0,0,8.37,0,0,8.02,111.27,1.19,2.14,0,0,0,11.91,2.33,6.18,0,1.47,24.52,0,0.94,0
 36-46,0,0,0,0,1.16,0,0,21.25,0.78,0,0.58,4.55,0,0,0.56,0,0,0,0,0,17.4,0,0,1.25,77.23,0,1.09,0,0,0,9.97,0,10.87,0,0,15.97,0,1.76,0
 48-58,0,0,0,0,0.63,0,0,36.26,0,4.09,0,4.75,0,0.75,0,0,0,3.28,0,0,5.86,0,0,0.96,93.48,0,0,0.46,0,0,5.16,0,6,0.95,0,16.41,0,2.82,0
 60-70,0,0,0,0,0,0,0,60.14,0,0,0,0,0,0,0,0.71,1.16,1.16,4.22,0,9.05,0,0,0,63.06,0,0,0,0,0,10.05,0,1.37,0,0,4.9,0,0,0
 72-82,0,0,0,0,0.5,0,0,45.49,0,0,0,5.55,0.59,0,0,0,0,5.54,1.79,0,5.33,0.5,0,0.57,50.68,0,2.78,0,4.01,0,0.77,0,4.86,2.78,0,8.05,0,1.11,0
 84-94,0,0,0.84,0,1.18,9.29,0,50.25,0,0,0,10.41,1.64,0,0,0,0,1.78,4.71,0.58,10.96,0,2.76,0,47.87,0.62,0,3.24,0,1.59,8.09,0,2.57,2.31,0,12.28,0,1.92,2.24
 96-106,0,0,0.81,0,0.63,5.87,0,40.34,0,0,0,13.37,0.65,0,1.55,0,0,10.39,0.84,0,4.64,0,1.38,0,38.29,0.62,3.79,0,0,0,4.65,0,3.76,0,0,0,0.67,0,0
108-118,0,0,1.32,0,1.07,0,0.86,30.9,0,0.71,0.43,10.25,2.93,0,2.06,0,0,5.15,0,0,6.59,0,2.23,2.14,67.25,0,2.04,0.78,0,1.07,4,0,3.98,0.67,0,1.33,0,1.59,0
120,0,0,0,0,0,0,0,7.71,0,1.22,0,30.14,5.72,0,7.88,1.76,0,7.38,0,0,0,0,0,0,47.08,0,0,1.86,0,0,7.23,0,7.05,0,0,0,0,0,0
