stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,mesenchyme,neural,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0.83,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
 24-34,1.89,0,0,0,0,0,0,1.16,12.72,0.88,0,0,0,0.98,0
 36-46,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0
 48-58,3.1,0,0,0.39,0,0,0,0,2.57,0,0,0,1.43,0,0
 60-70,0.91,0,0,0,0,0.89,0,0,0.69,0.69,0.64,0,0,0,0
 72-82,0,2.4,0,2.1,0,0,0,2.97,0,0,0,0,0,0,0
 84-94,0.56,0,0,0,0.56,0,1.45,0,0,0,0,0,0,0,0
 96-106,0,0,0.6,0,1.21,0,0,0,11.38,0,3.2,0.73,0,0,0.58
108-118,2.44,0,0,0,0.62,0,0,0,0.69,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0
