stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.41,285.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.65,641.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0
  7-9,29.1,8.5,0,15.67,0,0,0,79.01,0,0,0,0,19.15,0,0,0,0,0,0,0,0,0,0,0,586.05,24.88,0,0,250.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.74,0,14.36,0,6.05,0,26.81,0,0,0,0,23.94,0,0,0,0,0,0,0,0,0,0,0,529.97,40.11,0,0,96.85,0,3.81,0,10.87,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,32,7.42,0,7.14,0,0,5.56,0,1.8,1.07,0,1.93,0,0,0,0,11.69,0,0,8.14,98.11,7.97,0,2.93,0,0,10.1,31.4,0.87,4.24,53.4,21.96,0,0,0,0,1.35
 24-34,0,0,0,2.66,9.3,0,0,10.67,2.82,0,3.56,0.64,0,0,0.6,2.92,0,0,10.59,4.63,13.89,2.38,0,6.35,79.65,0.59,3.45,1.35,0,0,15.13,0.85,3.64,0,5.93,20.01,0,0,5.5,0,0
 36-46,0,0,0,0,3.97,0,0,10.21,0,1.84,2.34,0.57,0,0,0,1.34,0,0.61,2.42,0,2.76,0,0,1.68,35.71,0,0.56,0,0,0,20.16,0,3.08,0.93,0,18.14,0,0,0,0,0
 48-58,0,0,0,0,3.34,0,0,11.09,0,0,10.15,0,0,0.44,2.12,0,0,0,0,1.39,15.3,0.69,0,0.49,114.88,0.71,1.95,0.44,0,0,9.53,0,0,0,0,17.59,0,0,1.2,0,5.64
 60-70,0,0,0,0,3.67,0,0,20.19,0,0,5.57,0,2,0,0,0,0,1.57,0,1.83,13.61,0,0,0,54.79,0,0,0,0,0,14.67,0,0,0,0,5.54,0,1.29,0,0,0
 72-82,0,0,0,0,1.42,0.74,0,34.23,0,1.27,5.13,0.74,0,0,0,0,0,0,0,0,20.19,0.83,0,2.9,50.88,0,1.37,3.18,0,0,5.55,0,0,0,0,8.92,0,0,1.02,0,0
 84-94,0,0,0,0,2.43,0,0,23.22,1.14,0,2.09,0.99,2.21,0,0.89,1.1,2.47,0,0,0,9.49,1.34,0,3.77,25.68,0,0,0,0,2.02,15.97,0,0.64,0.61,0,0.79,0,0,5.17,0.62,0
 96-106,0,0,0,0,4.97,0,0.94,11.28,0,0,3.88,0.76,0,0,1.76,0,0,1.69,1.19,0,14.29,0,0.84,0,22.37,0,1.9,2.07,0,0,10.55,0,0,0,0,1.35,0,0,3.3,1.42,0
108-118,0,0,0.97,0.74,9.56,7.28,0,8.53,1.22,1.72,5.02,1.66,0,0,0.89,0.47,0,0,1.27,0,12.21,0.52,0,0.47,34.65,0,1.62,0,0,0,6.2,0,0,0,0,3.17,1.87,0,0.55,0,0
120,0,0,0,0,15.16,0,0,15.47,0,0,8.44,1.31,0,0,0,0,0,0,0,0,8.6,0,0,0,4.23,0,0,0,0,0,10.75,0,0,2.35,0,7.61,2.83,0,0,0,0
