stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,94.06,1238.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.97,0,0,0,0,0,0,0
  5-6,0,256.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,33.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,13.75,0,0,0,0,0,0,0,0,0,0,5.34,0,0,24.27,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.3,0,0,0,0,0,0,0,0,1.12,0,0,0.92,17.74,1.01,0,0,0,4.5,8.68,7.13,0,0,0,0
 24-34,0,0,0,0.71,0,2.69,0,0,0,0,0,0,3.88,0,0,2.84,24.92,0,1.1,0,0,0,0.71,2.93,0,0,0,0
 36-46,0,0,0,0,0,2.34,0,0.74,0,0,0,0,3.12,0,0,0,11.65,0.58,3.34,0,0,0,0,2.74,0,1.03,0,0
 48-58,0,0,0,0.64,0,0.59,0,2.61,0,0,0,0,5.08,0,0,0.85,9.08,0,1.21,0,0,0,0,3.91,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.85,0,0,0,0,11.79,0,0,0.71,22.17,0,0,0,0,0,0,1.78,0,0,0,3
 72-82,0,0,0,0.63,0.58,5.32,0,13.3,0,0,0,6.49,29.38,0,1.15,3.62,10.92,0,2.82,0,0,0,0,0.86,0.94,1.68,0,0
 84-94,0,0,0,2.12,1.26,0.73,0,4.13,0,0,0,0,24.27,0,0,1.61,1.7,0,0,0,0,0,0,0,0,0,0,7.98
 96-106,0,0,0,2.22,0.63,0.79,0,3.71,0,0.68,0,0.58,22.59,0.71,0,5.27,9.6,0,0,0,0,0,0,0,2.88,0,0,6.42
108-118,0,0,0.74,1.25,0,2.77,0.59,9.78,0.6,0,0.53,0,35.6,0,0,2.49,3.47,0,0,0,0,0,0,2.67,1.52,0,0,2.41
120,0,0,0,1.15,6.06,7.07,0,25.01,0,0,1.5,0,27.74,0,6.76,1.38,28.6,0,0,0,0,0,0,0,0,10.22,1.8,0
