stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,ionocyte,mesenchyme,neural,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 48-58,0,0,9.14,0,0,0,0,0.49,0.44,0,0,0,0.43,0,0,0
 60-70,0,0,227.76,0,0,0.72,0,0.58,0,0,0,0,0,0,0,0
 72-82,0,1.1,1550.11,0,0,17.59,0,0,31.98,0,0,0,0,0,0,7.44
 84-94,2.91,0.65,738.34,0,0,7.06,0,2.8,1.99,0,0.77,0,1.88,1.35,4.6,2.12
 96-106,0,0,1265.45,0,0.73,24.44,0,3.16,32.3,1.3,0,0,1.8,0,0,1.41
108-118,0.8,0,1162.56,0.54,0,20.7,0.62,0,12.23,0,0,0.84,0,2.32,0,3.25
120,8.58,0,744.95,0,0,2.22,0,12.45,25.37,0,0,0,0,0,0,3.6
