stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.41,320.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,84.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.75,0,5.77,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.89,0,0,0,33.74,0,9.56,5.24,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,8.75,0,0,0,26.1,0,0,0,0,0,20.75,0,0,0,0,0,0,0,0,0,0,0,324.45,8.65,0,0,88.53,0,14.08,0,28,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,1.81,7.91,0,0,3.82,0,0,0,3.39,0,5.48,0,0,1.68,0,0,0,0,0.83,0,0,0,76.08,0,1.92,1.96,0,0,17.88,0,3.01,0.87,1.81,10.16,0,0,0,0,0
 24-34,0,0,1.37,0,5.67,1.39,0,18.51,0,0,0,4.77,0,2.51,0,1.45,2.44,0.92,0,0,0,6.47,0,0,1.63,153.05,0.79,7.53,0.85,0,0,50,0,2.86,0,0,46.14,0,0,5.75,0,0
 36-46,0,0,0,0,1.74,0,0,17.85,0,6.64,0,9.23,0,0,0,0,2.59,5.9,0.72,0,0,11.77,0,0,2.17,181.52,0,5.12,4.63,0,0,60.4,0,4.63,0,0,34.86,0,1.04,2.88,0.78,0
 48-58,0,0,0.67,0,3.63,0,0,68.38,3.07,0.8,0,19.81,1.03,0,0,0.97,0,0,0,0.39,8.02,15.6,1.09,0,1.59,118.57,0.39,3.68,3.99,0,3.8,72.15,0,0,0,0,26.23,0,0,3.39,0,1.64
 60-70,0,0,0,0,0.69,1.4,0,251.97,1.06,5.6,0,26.07,0,0,0,2.59,2.89,0,1.22,1.41,0,41.38,3.81,1.36,2.69,187.8,5.3,0,8.25,0,0,100.94,0,0.76,0,0,25.27,0,0,0.63,0,0
 72-82,0,0,0,0,16.75,8.33,0,254.21,0,5.26,0.68,25.5,5.98,0,0.5,5.79,3.73,0,0.63,0,1.81,38.67,1.45,3.98,0,105.3,0,1.8,3.37,0,1.05,85.85,0,0,0,0,24.25,2.47,0.93,4.08,0.54,5.98
 84-94,0,0,0,0,15.57,15.81,0,242.25,0,10.26,1.5,29.37,0.67,0.76,0.8,11.58,6.54,0,2.94,5.04,1.74,20.84,3.44,10.31,1.86,99.62,1.17,8.56,9.87,0,0.79,235.34,0,6.04,0,0,13.64,3.47,0.69,4,4.18,2.12
 96-106,0,0,0,0,12.86,7.01,2.08,181.53,4.03,0,1.24,50.51,5.35,0,1.98,5.1,10.55,1.29,1.99,0.7,0.69,25.1,8.03,0.56,2.73,90.55,0.62,1.13,8.73,0,2.4,219.74,0,0.62,0,0,8.81,0,0,10.19,0,0
108-118,0,0,0,0,26.95,0.7,5.89,189.16,0,0,1.38,25.07,9.1,0,0,6.34,6.94,0,0,1.35,0,29.37,0.51,0,0,93.85,0,3.81,11.56,0,0,139.84,0,3.18,1.08,0,3.8,2.89,1.27,9.03,1.68,0
120,0,0,4.32,0,38.68,1.53,1.71,197.37,0,3.92,19.92,2.76,5.18,0,0,9.83,16.9,1.18,12.58,4.74,3.24,53.47,1.46,0,2.24,136.46,13.03,18.72,10.35,0,0,106.6,0,3.7,0,0,55.07,1.84,0,8.51,5.56,0
