stage,blastomeres,eye,glial,gut,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  3-4,13.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.01,0,0,0,0,0,0
 24-34,0,1.12,0,0,0,20.74,0,0,0,1.37,0.93,0
 36-46,0,0,0,0,0,31.26,3.55,0,1.8,1.07,0,0
 48-58,0,7.62,2.83,0,0,17.81,0,0,0,7.96,0,0
 60-70,0,1.88,0.78,0,0,68.27,0,8.21,0,13.73,0,0
 72-82,0,1.55,0,0,0,82.51,0,0,0,1.86,0,0
 84-94,0,10.03,1.27,0,2.05,32.25,0,0,0,0,0,0
 96-106,0,0,2.56,0,0,20.84,0,0,0,2.13,0,0.6
108-118,0,1.62,0,0,0,45.33,0.86,0,0,0,0,0
120,0,4.7,0,8.14,0,153.62,0,0,0,0,0,0
