stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.54,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,39.96,0,0,0,8.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.21,0,0,0,8.45,0,0,0,0,0,0,0,0,0,3.73,0,0,0,168.64,27.9,0,0,24.63,0,0,0,12.62,0,9.85,0,0,0
 14-21,0,0,0,4.87,0,0,0,0,0.95,0,68.72,0,0,0,0,0,0,0,3.78,0,52.18,0.89,0,5.11,0.86,0.92,0,4.23,33.08,2.61,145.15,0,1.16,0
 24-34,0,0,0,0.79,0,0,0,0,0,0.9,66.97,0,0,0,0,0,0,2.03,2.69,2.33,50.48,1.44,23.84,2.28,0,0,0,0,19.45,1.4,109.48,0,0,0
 36-46,0,0,0,0.63,0,0,0.88,0,9.47,0,39.74,0.67,0,0,0.94,0,0,0.7,0,0,26.53,0,42.39,0,0,0,0,0,8.2,0,51.6,0,0,0
 48-58,0,0,0,0,0,0,4.43,0,0,0,29.73,0,0,0,0.39,0.96,0,0,1.28,0,28.41,0,37.89,2.51,0,0,0,0,1.38,0,52.08,0,0,0
 60-70,0,0,0,0,0,0,4.98,0,1.3,0,16.01,0,0,0,0,0.71,0,0,1.27,0,38.33,0,37.52,1.5,0,0,0,0,0.63,0,41.89,0,0,0
 72-82,0,0,0,0,0,0,6.02,0,0,0.56,34.56,0,0,0,0,4.93,0,0,7.25,0.71,59.83,0,43.34,15.19,0,0,0,0,0.86,0,30.18,1.16,0.63,0
 84-94,0,0,0,0,0,0,8.57,0,0.71,0,26.08,0,0,0,0,7.01,2.93,0,2.52,0.98,39.48,0,49.5,14.34,0,0,1.4,0,4.54,0,59.54,0,0,0
 96-106,0,1.98,1.07,0,3.98,0,3.36,0,0.58,0,46.71,0.69,0,0,0,7.77,0,0,2.77,0,45.37,0,64.5,13.46,0,0.68,0,0,1.33,0,23.85,0,0,0
108-118,0,0,0,5.02,0,0.56,3.87,0.54,1.45,0,42.26,0.45,0,0.57,0,8.3,0,0,6.36,0.76,58.08,0,50.24,24.86,0,0,0,0,1.18,0,23.11,0,0.42,0.51
120,0,0,0,0,0,0,14.44,0,0,0,10.21,0,0,0,0,6.09,0,0,0,6.93,68.46,0,22.84,25.58,0,0,0,0,5.04,0,10.38,0,0,0
