stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,56.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,4.93,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.15,0,0,0,11.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.35,5.62,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.79,0.82,1.51,0.94,0.8,0,0,0,5.78,20.3,0,0,0,0
 24-34,0,0,0,0.63,0.81,0,8.56,0,0,0,0,0,1.13,0,0,0,0,0,0,7.17,0,0,1.09,293.11,0.67,2.79,0.77,0,0,0,0,0,47.27,0,0,0,0
 36-46,0,0,0,0,0,0,67.85,0,0,0,50.52,0,0.63,0,0,0.72,0,0,0,8.32,0,0,0.72,554.59,0,0.87,4.17,0,1.24,0,0,0,116.58,0,1.66,0,0
 48-58,0,0,0,0,0,0,156.72,0,2.6,0,445.78,0,0.89,1.21,1.38,1.78,1.03,0,0,18.39,0,0.55,2.51,809.23,1.01,0,3.29,0,0.69,0,0,0,60.84,0,0,0,3.67
 60-70,2.52,0,0,10.05,0.67,0,260.87,0,0.87,0,2844.2,0,0,0,0,30.15,0,5.16,0,40.61,0,2.39,0.92,1085.8,0.66,0,23.52,0,0,11.16,0,0,53.4,0,11.89,0,12.33
 72-82,0,0,0,1.88,0,0,239.58,0,0,6.34,8017.98,2.85,0,7.01,0,52.79,0.65,0.96,0,111.02,0,2.61,2.97,1009.9,0,0.93,42.59,0,2.64,0,0,0,26.71,8.28,8.81,0,0
 84-94,0,0,0,39.58,7.11,0,263.65,0.98,0,6.84,7321.6,1.7,0,0,0,16.66,2.13,0.89,0,123.5,1.03,17.47,13.12,1038.37,0,0.8,39.46,0,12.95,0,7.29,0,14.89,11.75,3.01,0,0
 96-106,0,0,0,51.22,3.17,1.14,302.9,0.93,10.73,10.68,11780.5,9.13,2.24,7.97,0.6,12.33,0.83,96.48,0,134.26,0,0,12.55,941.11,1.15,0,57.67,0,18.12,2.72,0,0,53.45,9.65,2.13,0.75,0
108-118,0,0,0,20.63,3.83,0,105.48,0,0.52,0,12693.14,2.49,0,1.28,0.93,16.63,0,0,0.6,157.47,0,2.5,6.48,806.21,0,3.52,69.08,0,8.97,0,0,0,11.84,0.68,10.32,0,3.31
120,0,0,0,14.81,10,0,188,2.24,8.89,19.3,15934.74,0,0,6.13,2.26,7.96,4.88,39.36,0,79.83,0,0,4.96,974.7,0,3,46.23,0,10.21,0,0,0,35.69,5.08,2.98,0,15.67
