stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.68,246.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,0,0,0,0,0,0,0,0
  5-6,8.35,706.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0,62.35,0,0,0,0,0,0,0,0,0
  7-9,7.57,14.88,0,37.02,0,0,27.54,0,0,0,10.87,0,0,0,0,0,0,0,262.22,7.72,0,0,62.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.49,0,0,13.26,0,0,0,5.17,0,0,0,0,0,0,0,53.07,0,0,0,16.67,0,0,5.21,0,0,0,0,0,0,0
 14-21,0,0,0,1.33,28.69,2.05,0,0,1.25,1.28,1.41,1.92,0,0,2.34,55.68,0,9.09,33.58,0,0,0,0.81,13.24,2.48,0,9.92,31.46,0,0,0,0,0
 24-34,0,0,0,1.34,1.42,20.85,2.23,0,0,0,0,0.6,0,0,0.92,12.51,0,2.82,30.65,0,1.29,0,0,0.77,0,0,0.75,12.61,0,0,0,0,0
 36-46,0,0,0,0,6.26,38.34,4.29,0,2.9,0,0,0,0,0,0,19.14,0,3.28,67.35,0,0,0.71,0,3.65,0,0.6,0,9.12,0,0,0,0,0
 48-58,0,0,0,0,0,59.46,14.61,0,2.34,0,0,1.26,0,0,0,13.37,0.58,7.26,103.85,0,1.93,7.63,0,0,0,0,0,14.15,0,0,0,0,4.82
 60-70,0,0,0,0,0,51.42,25.01,0,0.57,0.85,0,0,0,0,0,4.89,0,3.55,80.43,0,0,0,0,0.61,0,0,0,9.97,0,0.73,0,0,0
 72-82,0,0,0,0,0.53,58.85,20.7,0.59,8.34,0,0,0,0,0.6,0.95,15.21,0,0,153.68,0,0,1.21,0,0,0,0,0,9.76,0.88,0,3.81,2.16,0
 84-94,0,0,0,0,0,46.47,13.91,0,4.55,0,0,0.97,0,1.03,0,17.62,0,0.56,71.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,116.83,25.15,0,2.48,0,0,0,0.81,0,3.61,9.2,0,0,78.48,0,1.87,0.87,0,1.5,0,0,0,0,0,0,0.71,4.2,0.75
108-118,0,0,0.89,0,0,73.96,43.3,0,4.31,0,0,0,0.72,0,0,13.65,0,0,77.73,0,0,0,0,0.43,0,0,0,4.63,0,0,0,0,0
120,0,0,0,0,1.32,82.28,36.7,0,0,0,0,0,1.43,0,0,20.4,0,1.74,57.68,0,0,0,0,0,0,0,0,15.25,0,0,2.64,0,0
