stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,115.34,1238.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.81,0,0,0,0,0,0
  5-6,114.21,1999.98,10.71,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,98.77,0,0,0,60.06,41.53,0,0,0,0,0,0
  7-9,20.13,24.21,21.11,0,0,36.23,0,0,0,29.23,0,0,0,0,0,0,0,0,464.89,7.13,0,0,124.35,3.63,0,0,0,0,0,0
 10-12,0,11.13,5.98,0,0,8.39,0,0,0,0,0,0,0,0,0,0,0,0,124.97,0,0,0,30.97,0,0,0,0,0,0,0
 14-21,0,0,0,7.23,3.26,0,0,2.17,4.48,0,0,0,3,0,0,7.44,0,3.38,91.33,0,0,0,1.3,6.23,11.23,0,3.74,13.03,1.5,0
 24-34,0,0,0,9.37,1.03,4.31,0,2.99,0,0,1.06,0,0,0,1.28,6.62,0.71,0.65,127.47,3.79,0.88,0,0,5.24,0,0,0.66,21.68,12.51,0
 36-46,0,0,0,3.2,0.67,1.47,0,0,0,0,0,0,0,1.15,1.53,5.96,0,0.68,50.81,0.64,0,0,0,21.98,0,0,0,15.6,6.13,0
 48-58,0,0,0,0.53,0,2.17,0,1.63,4.06,0,0,4.17,6.78,0,0,1.07,0,0,42.44,0.39,2.07,0.38,0,5.84,0,0,0,4.17,0,1.74
 60-70,0,0,0,0.83,0,6.3,1.41,0,0,0,0.58,0,0,0,0,0.57,0,0,15.73,0,0,0,0,2.6,0,0.63,0,0,0,0
 72-82,0,0,0,0,0,5.8,0,0.92,0,0,0,0,0,0,0,1.25,1.05,0,7.12,0,0,0,0,6.38,0,0,0,7.02,0.83,0
 84-94,0,0,0,0,0,4.92,1.24,0,0,0,0,1.52,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0,6.13,0,1.21
 96-106,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,4.36,0,4.45,0,0,3.96,0,0,0,0,10.45,0,0,6.54,0,0,0,0,4.52,0,0,0,0,6.94,0
