stage,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste
 14-21,2.4,0,0.82,0,0,0,0,1.37,0.82,0,1.56,0.9,0
 24-34,0,0,0,0,0,0,0,0,2.08,0,0.79,1.33,0
 36-46,11.72,0,1.78,0,0,0,0,0,1.41,0,0,0.75,0
 48-58,0,0,19.28,0,0,0,0.39,0,7.13,0,0,0,0
 60-70,0,0,52.81,0,0,0,0,0,0.77,0,0,0,0
 72-82,1.37,0,140.06,0.79,0,0,1.31,0,3.52,0,0,0,0.88
 84-94,0,0,163.53,0,0,0,0.57,0,0.84,0,0,0,0
 96-106,0,10.83,214.63,2.14,0.73,0.57,0,0,0.67,0,0,0,1.89
108-118,0,0,86.89,5.35,0,0,0,0,4.11,0,0.46,0,2.1
120,0,0,66.64,0,0,0,0,0,5.9,11.95,0,0,0
