stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  5-6,46.37,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,0,0,8.04,0,0,0,0
 14-21,0,0,2.4,0,0.84,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,1.8,0.97
 24-34,0,0,0,0,1.68,0,0,0,0,0,1.03,0,1.42,11.27,1.03,0.62,0,0,0,3,0
 36-46,0,0,0,0,2.74,0.68,0,2.3,0,0,1.81,0,0.72,36.11,0,0,0,0.85,0,10.22,0
 48-58,0,0,0,0,5.25,0,4.37,2.94,0,0,2.49,1.23,1.25,26.67,0,0,0,0,0,1.31,0
 60-70,0,0,0,0,10.32,0,0.64,2.51,0,0,4.72,1.82,0,19.85,0,0.84,0,0,0,2.42,0
 72-82,0,0,3.99,0,3.74,0,0,11.84,0,0,4.84,0,0,8.13,0,0,0,0,0,0,0.62
 84-94,0,0,0,0,2.05,0,0,5.07,0,0,0,0,0,9.92,0,1,0,0,0,0,0
 96-106,0,0.63,0,0,0,0,0,3.26,0,0,2.02,0,0,15.17,0,0,0,2.81,0,0,0
108-118,0,0,0,2.84,8.15,0,0,2.56,0.91,1.03,2.9,0,0.51,4.64,0,0,0,0,0.41,0,0
120,0,0,0,0,6.73,0,0,0,0,0,3.53,0,0,7.58,0,0,0,0,0,0,0
