stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,58.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.37,0,0,0,33.4,0,0,0,0,0,0,0,0,0
 10-12,7.78,0,0,0,0,33.47,0,0,0,0,0,0,0,0,0,0,0,0,0,157.29,4.45,0,0,4.56,0,0,0,0,0,0,0,0,0
 14-21,0,2.34,0.95,0.99,0,4.2,0,0,3.89,0,0,0,0,0,0,0.83,0,0,1.6,172.26,0,6.46,0,0,5.8,0.93,0,115.22,0,0,0,0,0
 24-34,0,1.29,1.5,0,0,6.19,0.71,0,1.53,0,1,0,0,0,0,4.52,0,0,0.63,776.43,0,24.09,9.72,0,2.65,0,0,195.15,0,0,0.93,0,0
 36-46,0,0.73,15.42,0,0,67.33,0,0.57,22.97,0,0.65,0,0,0,0,4.45,1.08,0,2.37,1881.1,0,20.3,0,0,1.24,0,0,336.46,0,0,0,0,0
 48-58,0,0,14,0,0,310.1,0,0,65.79,0,0,0.43,0,0,0,5.45,0,0.42,1.86,2079.78,0,10.16,0,0,0.79,0,0.74,305.6,0,0,0.58,0,7.55
 60-70,0,0,0.77,0,0,642.27,0,0,24.09,0,0,0,0,0,0,11.5,2.63,0,0,1873.84,0,7.75,6.8,0,5.76,0,0,305.7,0,0,2.37,0,0
 72-82,0,3.65,8.28,0.52,0,691.92,0,0,35.85,0.86,0,1.12,0.6,0,0,18.52,0,0,1.18,1536.46,0,17.62,0.54,0,1.41,0,0.63,146.33,0,1.22,0,0.61,6.33
 84-94,0,9.38,3.96,0,1.24,446.79,0.63,1.13,22.81,5.91,0,1.97,1.02,1.39,0,20.22,0,0,0,1030.16,0,9.07,1.22,0,3.64,0,0,105.9,4.15,0,1.9,2.98,8.03
 96-106,0,3.44,5.2,6.22,0,425.47,0,0,22.77,4.41,1.55,0,0,0,4.97,6.75,0,0,1.44,750.14,0,3.1,1.28,0,1.53,0,0.87,48.14,6.18,1.77,0,2.52,0
108-118,0,0.52,6,0,0,222.63,0,0.84,30.95,5.98,2.58,1.56,0.5,0.82,0,21.76,2.3,1.96,0,797.81,0,5.92,3.33,0,8.65,0,0,41.86,18.05,0,0.69,0.61,0
120,0,0,4.85,0,0,203.56,0,0,16.37,11.9,0,0,0,0,0,29.24,0,0,13.43,828.94,0,4.74,0,0,1.68,0,2.43,58.83,15.8,0,0,0,0
