stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,49.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.1,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,79.13,2.44,0,9.61,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0.85,41.74,4.25,0,0.86,0.99,0,32.15,0.96,0.9,3.53,0,0,0,0,0
 24-34,0,0,0,43.26,1.39,0,59.19,0,9.85,0.83,0,0,4.52,0,0,0,0.66,0,31.66,0,0,3.3,168.44,0,1.48,0.74,0,0,60.87,0,3.06,13.66,0,0,65.58,0,0
 36-46,0,0,0,38.06,0,0,226.76,0,1.84,5.28,2.97,0,1.95,0,0,0,0,0,33.97,0,0,3.04,287.58,0.62,0.73,0.78,0,0,110.65,0,0.92,10.54,0,0,35.27,0,0
 48-58,0,0,0,16.51,0.45,0,288.24,0,4.57,5.28,12.62,1.15,3.37,0,0,0,0,0,30.01,0,3.39,4.98,157.73,4.23,0,1.16,0,0,44.81,0,0,8.59,0,0,38.75,0,1.2
 60-70,0,0,0,5.72,0,0,259.18,0,11.97,3.9,33.2,1.57,0.79,0,2.65,0,0,0,39.87,0,10.86,1.47,95.51,2.17,0,0,0,0,63.39,0,5.84,3.25,0,4.18,21.14,0,0
 72-82,0,0,0,20.24,0,0,80.98,0,5.02,6.42,33.34,2.56,4.47,0,0,0,0,0,47.44,0,1.1,3.26,51.05,1.59,0,0,0,5.83,37.24,0,0.75,0.63,0,1.61,45.08,4.71,0
 84-94,0.62,0,0,44.41,0,0,96.58,0.67,19.38,4.91,19.24,20.17,5.04,0,1.38,0,0.57,0,37.89,0.93,5.17,0,41.51,1.75,0,3.54,0,0,61.46,0,0,4.6,0,1.05,37.65,0,0
 96-106,0,0,0,42.78,7.41,0,64.33,0,13.65,1.74,16.51,13.6,5.28,2.03,0.95,2.63,0,0.69,26.83,0,0.56,2.09,41.03,0,1.34,2.53,0,3.36,97.57,0,0.82,0.97,0,3.55,44.51,0,0
108-118,0,0,0,42.49,0,0.61,80.41,0,21.83,7.66,11.01,13.62,0.93,0.42,4.85,3.65,0.6,1.51,43.4,0,5.62,1.54,79.18,0.68,2.68,2.03,0,1.05,106.09,0,0.46,0,1.42,1.53,28.3,2.57,0
120,0,0,0,46.06,0,0,77.55,0,27.29,18.66,14.94,25.13,3.65,0,3.26,0,1.06,0,49.89,0,5.31,0,77.21,0,1.09,0,0,4.22,76.54,0,0,0,0,10.67,37.49,0,0
