stage,eye,glial,mesenchyme,neural,otic,paraxial.mesoderm
  7-9,0,0,0,4.04,0,3.77
 36-46,0,0,1.81,0,0,0
 48-58,0,0,0,0.41,0.45,0
 60-70,0,1.14,0,2.07,0,0
 72-82,0,1.25,0.82,0.88,0,0
 84-94,0,7.77,1.01,0,0,0
 96-106,1.58,0,0,6.17,0,0
108-118,4.65,0,3.1,2,0,0
120,10.59,0,0,77.48,0,0
