stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.42,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.64,0,0,0,4.84,0,0,43.55,0,0,0,0,0,0,0
 14-21,0,0,5.46,839.74,0,21.32,0,0,0,0,1.16,4.68,0,0,0,0,0,0,0.99,0,2.48,25.58,0.96,0,0,0,0,4.96,0,13.88,0.89,1.1,0,570.52,0,0
 24-34,0,0,5.56,122.8,0,519.78,0,0,0,1.36,0,7.06,0,4.51,0,0,0.6,0,6.66,0.69,0,198.78,1.56,0,1.74,1,0,3.34,0.65,0,1.78,23.95,0,2107.28,0,0
 36-46,0,0,3.87,17.04,0,1653.39,0,0,0,4.97,0,5.35,0,0,0,0,0.66,1.66,8.36,0,1.29,218.89,0,1.6,0,0,0,1.47,0,0,0,9.78,0,1155.61,0,11
 48-58,0,0,0,12.73,0,2225.13,0,0,0,11.7,0,9.65,0,0,0,0.62,0,0,23.04,0.45,3.75,249.71,0.53,0,0,0,0.56,5.18,0,0,0,24.83,0,652.84,0,3.48
 60-70,0,0,4.77,5,0,1410.07,0,5.12,0,23.19,0,11.03,0,0,5.24,0,0,0,40.13,1.5,3.23,182.47,0,0,1.12,0,0,0,4.15,0,0,6.61,0,535.29,1.63,0
 72-82,0,0,2.88,5.09,0,500.54,0.75,0,0.82,29.07,3.87,10.88,1.13,0,0,0,0,0,65.58,0.68,7.79,70.53,1.28,4.77,1.1,0,2.75,0,0,0,0,1.08,1.13,944.83,3.47,7.88
 84-94,0,0,3.36,0,0,355.75,0,0,2.2,17.88,0.7,31.47,0,1.76,0,0,0,0,72.81,2.81,9.86,54.96,0,2.83,0.88,0,9.45,0,0,0,0,0,2.3,896.91,1.74,0
 96-106,0,0,5.53,21.82,0,321.96,0,0.59,1.02,43.89,0.69,37.71,1.3,0.96,0,0.63,0,0,101.49,0.63,1.48,77.25,0,0.7,4.45,0,0,7.14,2.12,0,0,0,5.34,1227.05,4.01,0
108-118,0.67,0,8.11,11.63,0.59,423.67,0.44,0.53,7.51,36.72,0.5,16.4,2.96,1.61,0,0,1.81,0,103.3,0,4.2,73.46,0,1.69,2.26,0,2.11,1.28,3.75,0,0,0.98,1.74,1136.88,0,0
120,0,0,3.46,0,0,283.26,0,0,0,7.33,0,36.04,0,1.01,0,1.07,3.99,0,84.07,0,3.79,125.26,4.62,1.4,1.84,0,17.57,6.23,0,0,0,1.74,0,987.85,0,0
