stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,99.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,0,0
  5-6,0,176.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0
  7-9,5.4,11.57,7.68,0,0,42.51,0,0,0,9.62,0,0,0,0,0,0,0,0,73.84,7.1,0,0,7.43,0,0,0,0
 10-12,0,15.73,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.1,5.55,0,0,69.29,0,6.85,0,0
 14-21,0,0,0,0,0,0.82,0,0,0,0,0,0.86,0,0,4.08,0,0,0,19.38,0,0,0,0,0,0,7.42,0.98
 24-34,0,0,0,0,0,7.89,0,1.05,0,0,0,0,0,0,3.18,0,0,1.9,44.08,0,0,12.68,0,1.29,0,12.09,0
 36-46,0,0,0,0,0,3.85,0,1.71,0,0,0,0,0,0,2.85,0,0,2.44,34.82,0,1.22,0.7,0,0,0,15.16,0
 48-58,0,0,0,0.37,0,19.36,0,1.72,0,0,0,0,0,0,0.41,0.53,0,3.46,42.62,0,0,0,0,0,0,5.55,0
 60-70,0,0,0,0,0,15.37,0,2.07,0,0,0,0,0,0.69,7.9,0,0,0,66.11,0,0,0,0,0,0,14.42,0
 72-82,0,0,0,0.58,0,16.07,0.55,1.73,0.71,0,0,0,0,0,6.92,0,7.47,1.44,40.69,0,0,0,0,0,0,5.42,1.96
 84-94,0,0,0,0,2.82,13.98,0,0.61,0,0,0,0,0,0,3.46,0,0,0,23.47,0,0,3.1,0,0.7,0,0.8,0
 96-106,0,0,0,0,0,7.42,0,4.22,0,0,0,0,1.03,0,5.45,0,0,0,21.05,0,0,0,0,1.08,0,3.23,0
108-118,0,0,0,0.73,0.99,22.3,1.94,5.94,0.87,0,0.61,0,0,0,8.72,0,0,0.62,37,0,0,1.4,0,6.63,0,0,0
120,0,0,0,0,0,34.77,0,0,0,0,0,11.17,0,0,12.41,0,0,2.24,64.41,0,2.97,0,0,1.34,3.15,0,0
