stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,taste,vasculature,xanthophores
  3-4,17.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0.89,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0.5,0
 60-70,0,0,0,4.64,2.48,0,0,0,0,6.52,0,0,2.37,0,0,0,0,0
 72-82,0,0.87,0.98,0.59,0,0,0,0,0.7,2.36,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.66,0,0,0,8.03,0,0,0,0,0,0,0,0
 96-106,0,0,0.79,0,0,0,3.76,0,0,5.06,0,0,0,1.12,0,0,0,0
108-118,0,0,0,0,0,0,0.7,3.71,1.41,4.67,0,0,0,0,0,0.44,0,1.39
