stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.33,0,0,0,31.85,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.48,16.51,0,0,62.08,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.25,0.88,0,0.83,0,0,0,0,0,0,0,0,1.9,0,0,0.95,9.31,1.58,0,0,0,0,4.95,2.31,3.16,5.53,0,0,4.33,0,0
 24-34,0,1.2,2.71,0,0,1.23,0,0,0.7,0,0,0,0,0,2.5,0,0.89,0.93,25.74,0,0,0,0,0.83,0.97,0.76,0.94,1.92,0,0,0,0,3.57
 36-46,0,0,1.27,0,0,2.59,0,0,0,0,0,0,0,0.6,2.56,0,0,0,16.15,0,0,1.08,0,0,0,0,0,3.38,0,0,0,0,0
 48-58,0,0,0.92,0,0,6.61,0,0.39,2.23,0,0,0.4,0,2.35,1.3,0,0,1.49,15.3,0,0,0,0,0.81,0,0,0,8.16,0,0,1.11,0,0
 60-70,0,0,6.77,0,0,2.53,0,0.86,0.76,0,0,0.61,0.93,0.77,6.4,0,0,1.46,14,0,0,0,0,0,0,0,0,0.92,0,0,0,0,4.09
 72-82,0,0,0.51,0,0,7.86,0,0,2.95,0.6,0,0,0,0,20.29,0,0,0,12.39,0,0.49,0,0,1.48,0,0,0,0,0,0,0,0,0
 84-94,0,0,11.75,0,0,5.41,2.5,0,3.33,0,0,0.61,0,0,17.99,0,0,5.92,10.26,1.28,0,0.92,0,4.45,0,0,0,0,0.55,0,0,0,0.8
 96-106,0,0,8.19,1.14,0,8.48,2.54,0,0.74,2.3,0.87,0,0.77,0.84,15.33,1.17,1.05,0,21.54,0,0.57,3.66,0,3.37,0,0,0,0,0,4.09,0.74,0,0
108-118,0,0,6.26,0,0.55,5.38,1.16,0,5.53,0.85,0.53,0.94,1.93,3.75,18.5,0,0,4.61,22.18,1.27,0.6,1.75,0,5.77,0,0,0,0,0.43,0.57,1.98,1.77,0.51
120,0,0,17.01,0,0,0,0,0,0,5.8,1.12,2.78,0,0,19.21,0,0,1.09,27.21,2.06,0,1.29,0,2.55,0,0,0,0,0,0,0,0,0
