stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0
 14-21,2.25,0,0,0,0,0,0,0,0,0.99,5.42,0,0,0,0,0,2.96,0
 24-34,1.68,1.4,0,0,0,0,0,0,0,1.33,13.72,1.32,3.32,0,0.96,0,13.39,0
 36-46,0,0.58,0,0,0,0,0,0,0,0,10.66,0,0,0,4.21,0,1.46,0
 48-58,4.54,3.87,0,0,0.88,0.74,0,0,0.4,6.48,13.17,4.07,6.15,0,0,0,0,0.77
 60-70,1.02,6.14,0,2.25,0,0.85,0,0,4.34,0,14.28,1.03,3.11,0,0,0,0.67,0
 72-82,0,16.14,0.57,0,0,0,1.04,0,2.11,0,27.18,0,2.52,0,0,0,1.95,3.58
 84-94,0,1.28,0,0,0,0.62,0,1.78,3.6,0,10.47,0.98,15.48,1.1,0,0,0,0
 96-106,0,0.59,0,0,0,0,0,0,9.73,0,2.94,0,0,0,0,0,2.52,0
108-118,0,0,0,0,0,0,0,0,1.16,0,3.5,1.39,6.49,0,0.48,0.89,0,0
120,1.96,0,0,0,0,0,0,0,27.27,0,17.09,18.89,33.4,0,0,0,0,0
