stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,95.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,66.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.89,0,22.77,0,0,0,100.35,21.99,0,0,0,0,0,0
 10-12,0,10.87,16.65,0,10.46,0,0,0,49.13,24.68,0,0,0,0,0,0
 14-21,0,0,0,0,2.19,2.35,1.14,0,12.33,0,0,7.28,0.82,0.81,0,0
 24-34,0,0,0,0,0,0,1.6,0,6.95,0,0,0,0.65,1.16,0,0
 36-46,0,0,0,0,0.72,0,0,0,6.16,0,1.07,0,0,0,0,0
 48-58,0,0,0,0,0.54,0,0,0,2.45,0,0,0,0,0,0,0
 72-82,0,0,0,0.6,1.25,0,1.31,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.65,0,2.2,0,2.35,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0.64
108-118,0,0,0,1.17,0,0,0,0,0.95,0,0.6,0,0,0,3.57,0
120,0,0,0,0,0,0,4.82,0,0,0,0,0,0,0,0,0
