stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
 14-21,0,2.2,0,0.8,0,0,0,0,0,0.86,0,4.87,0,0,2.82,18.77,0,0,0,0,1.16,0,0,2.89,11.5,0,0
 24-34,0,1.9,0,4.18,0,0,0,0,0,0.89,0,2.73,0,0,1.14,25.35,0,0,0,3.99,0,0,0,0,4.99,0,0
 36-46,0,0,0,11.58,0,0,8.25,0,0,0,0,8.23,0,0,4.36,25.87,0,0,0,0,0,0,0,0,8.27,0,0
 48-58,0,1.39,0,17.16,0.68,0,0.47,0,0,0,0.83,0.63,0.59,0,0,51.27,0,0,0,1.19,0,1.52,0,0,9.22,0,2.23
 60-70,0,0,0,32.7,0,3.88,1.96,0,0,0,0,8.25,0,1.78,0,68.37,0,0.62,0,0,0,0,0,0,1.89,0,0
 72-82,0,3.56,4.25,44.19,0,0,7.78,0,0.61,0,0,12.43,0.56,0,0,63.04,1.19,0,0,0,0,0,0.49,0,2.76,0.62,4.91
 84-94,0.94,2.26,0,57.45,0,0,0.75,2.7,0.68,0,1.82,2.1,1.85,0,0.84,70.77,1.16,0.69,0,2.37,0,0,0,0,3.6,0,1.58
 96-106,0,0.85,0,44.04,0,0,1.07,0.93,0,0,4.28,4.9,5.15,0,0,86.4,1.46,1.07,0,6.52,0,0,0,0,0,0,2.97
108-118,0,0,0,50.79,0,0,7.34,4.38,0,0.5,3.59,8.56,0,0,0,121.45,0,0.43,2.37,0,0,0,0,0,3.71,0,2.43
120,0,1.78,0,29.73,19.31,0,27.78,0,0,0,0,8.65,0,0,0,180.99,0,0,0,7.73,0,0,0,0,0,0,0
