stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,46.32,443.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,291.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,15.57,0,0,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.73,0,16.33,0,0,0,18.53,0,0,0,0,0,13.51,0,0,0,0,0,0,0,0,0,0,136.05,0,0,0,37.13,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.06,0,37.11,0,0,0,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.2,7.18,0,0,53.8,0,0,4.8,4.36,5.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,7.72,3.2,0,5.8,0,0,0,2.2,1.05,0,0,0,0,0,0,1.15,0,2.69,0,1.14,36.87,0,1.44,0.84,0.87,0,4.84,0,0,0,0,4.51,16.45,0,0,2.85,0,0
 24-34,0,0,0,0,1.92,0,0,8.9,0,0,0,7.44,0,0,0,0,2.69,0,0,0,1.29,14.51,0,2.02,140.02,0,3.32,1.73,0,0,1.18,0,0,0,0,0,38.45,0,0,11.12,0,1.62
 36-46,0,0,0,0,4.56,0,0,22.63,0,0,0.88,1.54,0,0,0.95,0,0,0,0,0,0,16.74,0,5.76,223.17,0,3.99,0,0,0.97,5.43,0,0,0.63,0,0,40.18,0,0,7.69,0,5.9
 48-58,0,0,0,0,6.07,0,0,82.17,0.86,1.03,0,9.96,0,0,1.23,4.08,2.75,0.47,0,0,1.7,24.36,0,4.66,186.42,1.69,0,0,0,0,8.15,0,0,6.51,0.68,0,33.5,0,0,15.18,0,0.48
 60-70,0,0,0.86,0,1.23,0,0,109.76,0,0,0,17.48,0,0,9.21,0,0,0,0,1.34,0,21.22,0,2.32,224.75,0.62,0.96,0,0,0,5.41,0,0,0,0,0,19.13,0,0.8,5.73,0,2.74
 72-82,0,0,0.68,0,3.91,3.68,0,85.3,0,0.8,0.59,15.52,0,0,0.75,0,0.56,0,6.08,0,0,47.46,0,5.05,206.47,0,2.46,0,0,0,4.19,0,0,0.64,0,0,17.74,0,0.63,10.8,0,3.5
 84-94,0,0,2.2,0,5.25,3.78,0,74.67,0,0,2.21,22.64,0.64,0,0.82,0.77,0.6,0.6,0,0,0,34.18,2.05,0.55,108.19,0,0,0.92,0,0,4.69,0,0,0,0,0,18.87,0,1.43,12.29,0,7.93
 96-106,0,0,2.19,0,0.88,33.03,0,48.14,0,0,0,23.2,0,0,0,2.05,0.63,0.57,1.77,0,0,31.29,1.09,3.71,116.38,0.91,0.66,0,0,0,3.87,0,0,0,0,0,7.34,0,0,15.6,0,1.44
108-118,0,0,1.55,0,5.12,10.73,0,27.61,0.9,0,0,21.74,4.31,0,1.81,0,0,3.21,0,0,0,52.07,0.69,1.75,116.7,0.47,1.82,1.65,0,0,11.9,0,0,0,0.55,0,5.66,2.76,0,22.84,1.31,1.55
120,0,0,0,0,2.66,28.83,2.02,74.15,0,11.98,0,61.6,1.92,0,0,0,0,0,0,0,0,50.99,0,2.35,198.56,0,1.48,0,0,0,10.06,0,0,2.39,0,0,1.57,0,6,9.65,0,0
