stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,432.85,5766.7,0,0,0,0,0,0,0,0,0,0,0,0,240.33,0,0,0,0,0
  5-6,229.01,3397.79,0,0,0,0,0,19.85,0,0,116.06,0,0,31.9,64.92,0,0,0,0,0
  7-9,33.98,52.01,32.34,0,0,73.74,0,22.97,0,0,816.34,30.25,0,253.23,0,33.54,0,0,0,0
 10-12,0,14.71,16.34,0,0,42.34,0,3.42,0,0,198.81,4.45,0,127.2,7.35,3.78,0,8.36,0,0
 14-21,0,0,0,4.77,3.08,1.6,0.84,0,1.95,3.27,16.47,0,0,0.96,0,0,7.3,0,2.57,6.42
 24-34,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0
