stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.34,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,2.31,66.58,0,0,0,0,0,0,1.14,3.09,1.4,27.3,0,0,0,0,2.62
 24-34,0,0,0,0,0,39.96,0,0,0,6.6,0,0,0,0,0.9,0.85,0,2.07,7.64,0,0,16.58,1059.64,0,1.99,0.69,0,0,0.65,0,0,1.76,255.09,0,0,0.62,0,5.49
 36-46,0,0,0,3.45,0,140.75,7.29,0,0,45.84,0,0.69,0,0,5.26,0,0,0,12.86,0,0,4.3,2885,0,0,0,0,0,29.94,0,2.58,0,416.94,0,0,0,0,4.88
 48-58,0,0,0,13.99,0,534.17,4.26,0.41,1.79,215.39,0,0,3.91,0,16.73,0.82,1.45,1.56,25.12,0,1.48,21.39,4999.18,5.12,0.43,0,0,0,11.28,0,0.77,0,602.64,0,0.37,3.46,0,11.21
 60-70,0,0,0,14.1,0,1698.6,10.74,0,1.48,380.4,1.27,0.84,1.9,0,12.62,0,0,0,55.67,0.63,0.66,13.91,6683.54,0,2.06,24.68,0,0,10.56,0,0,0,654.84,0,0,0,0.81,38.13
 72-82,0,0,0,22.53,7.94,2780.07,13.3,0,5.28,414.69,0.93,2.01,2.56,0.63,7.73,0.65,1.05,0.85,91.19,0,3.71,13.98,5947.22,0,4.05,3.63,0,1.3,9.79,0,0,0,316.36,4.85,0.78,2.52,1.25,24.7
 84-94,0,3.6,0,27.01,4.94,1601.12,3.03,0.56,2.4,434.35,0,0,10.11,1.29,7.48,0.69,0,0,73.69,0,3.03,17.49,3808.99,1.49,0.71,0.67,0,0,18.05,1.44,0,0,251.15,1.7,2.32,0.8,0.57,27.01
 96-106,0,0,0,42.66,28.57,1865.73,4.41,1.17,6.59,400.65,1.15,0,0,0,9.24,0,1.58,1.94,62.72,0,3.8,11.19,3153.76,0.75,2.72,1.54,0,0,10.87,0,0,0,104.24,2.87,4.97,6.79,0,8.51
108-118,0,0,0,29.93,5.97,1491.75,12.06,0,2.19,429.21,0.87,0,1.72,0,7,0.49,5.64,0,58.37,1.46,4.08,26.19,3600.04,0,7.06,0,0,0,16.61,0.94,0,0,74.29,5.94,0,4.25,0,7.48
120,0,3.29,1.28,36.2,0,1440.84,4.06,0,6.63,753.91,0,0,3.09,0,0,0,10.68,0,56.09,0,0,33.45,5523.54,2.33,3.86,0,0,0,4.26,0,1.52,0,35.9,0,16.38,2.66,0,3.14
