stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,32.23,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,63.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,25.1,0,13.62,0,0,0,0,6.99,0,0,0,0,0,0,2.71,0,0,0,4.48,16.23,0,0,18.85,1.15,0.91,1.74,2.27,1.49,60.14,0,0,0,0,0
 24-34,0,39.01,3.95,4.53,0,29.93,0.61,0.68,0,0,0,0,0.6,7.47,0,0,4.81,0,0,1.52,342.51,8.08,0,0,0,3.1,0,0,0,0,944.22,0,0,1,0,0
 36-46,0,59.2,0,0.65,0,3.43,0,0.82,6.2,2.36,0,0,0,0,0,0,6.04,0,0,3.15,1628.48,0.62,3.12,0,0,0,0,0,0,0,1241.74,0,0,1.06,0,0
 48-58,0,162.55,0,0,0,52.9,0,7.03,2.27,0,0,0.5,0,13.89,0,1.2,6.25,0,0,0,1022.69,1.82,0,0,0,0.38,0,0,0,0,387.21,0,0,0.71,0,10.33
 60-70,0,166.05,0,3.41,0,140.77,0,0,17.75,0,0,0,0,7.12,0,4.47,94.36,0,0,0,807.9,1.92,0,0,0,2.19,0,0,0,0,357.03,0,0,0,0,5.51
 72-82,0,209.35,0,4.44,0.55,102.83,0.52,0,2.74,0,0,0,0,32.1,0,0,49.74,0,0,4.93,1743.58,0,0,0,0,0,0,0,0,0,158.62,0,0,0,4.74,12.73
 84-94,0,420.96,0,5.78,2.86,133.18,0,0,82.18,14.85,0,0.66,0.82,19.96,0,0,85.58,0,1.2,0,1136,0,3.77,0,0,0.58,0,0,0,0,50.47,1.01,0.81,0,0,15.03
 96-106,0,126.76,0,19.26,0,41.33,0,0,6.82,0,0,0.65,0,36.91,0,0,131.71,3.31,0,0,970.09,1.03,2.88,0,0,4.19,0,0,0,0,39.1,0,0,0,1.59,14.82
108-118,0,290.74,0,12.86,0.44,129.87,0,2.21,16.15,0.43,0,1,0.86,54.46,0,0,126.18,0,0,0,1700.78,0,0,1.91,0,0,0,0,0,0,52.05,0,0,1.53,0,22.78
120,0,432.2,0,20.23,0,132.11,0,0,44.18,0,0,0,0,76.53,22.41,0,131,0,10.49,2.4,1768.13,0,0,0,0,0,0,0,0,0,65.87,0,0,1.32,0,10.47
