stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,58.96,2207.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.52,0,0,0,0,0,0,0,0,0
  5-6,60.49,804.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.93,0,0,15.77,0,0,15.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0.83,0,0,0.92,13.18,0.81,0,0,0,2.29,1.26,2.92,0,0.8,9.19,0,0,0,0
 24-34,0,0,0.76,0,0,2.71,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,2.23,11.12,0,0,0,0,3.52,0,0,0,0,2.67,0,0,0.71,0
 36-46,0,0,0,1.94,0,15.07,0,0,0,1.62,0,0,0,0,0,0,0,0,7.13,0,0,0,11.68,0,0,0,0,3.96,0,0,0,0,2.97,0,0,0,0
 48-58,0,0,0,0,0,131.68,0,0,0,7.36,0,0,0,0,0,0.77,0,0,1.92,0,0.4,0,29.02,0,6.6,0,0,3.16,0,0,0,0,1.21,0,0,0.5,0
 60-70,0,0,0,0.71,0,1341.25,0,0,0,6.3,0,0,0,0,4.64,0,0,0,2.49,0,0,0,29.34,0,1.72,0,0,0.68,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,17.12,0,2562.24,0,0,1.07,39.08,0,0,0.59,1.77,0,0.88,0,0,12.35,0,0,0,72.41,0,3.89,0,0,2.04,0,0,0,0,3.45,0,0,0,1.72
 84-94,0,0,0,9.08,0,1557.5,0,1.15,0,26.34,0,0,0,0,0,0,0,0,13.8,0,0,0,125.32,1.25,7.08,0,0,5.47,0,0,0,0,0,0,0.64,0,0.77
 96-106,0,0,0,4.12,2.68,2180.23,0,0.71,0,22.22,0.85,2.43,0,0,0,0,0,0,28.93,0,7.22,1.48,60.84,0,8.11,0,1.51,3.02,0,0,0,0,1.76,0,0,1.25,0.93
108-118,0,0,0,18.42,0.71,1490.84,0.67,0.73,0,10.64,0,0,0.99,1.66,0,0,4.97,4.49,9.38,1.25,0,0,57.81,0,8.83,0,0,5.26,0,0,2.96,0,0,3.42,0,0,0.49
120,0,0,0,23.45,0,913.77,0,0,0,0,0,0,0,1.05,0,0,0,0,12.86,0,0,0,82.35,1.33,0,0,0,1.12,0,0,0,0,0,0,0,0,0
