stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle
  3-4,0,68.22,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0
  5-6,0,43.21,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0
  7-9,3.76,0,0,0,0,0,6.49,0,0,0,0,33.15,0,0,13.8,0,0,0,0
 14-21,0,0,1.98,0,0,0,0,0,0,0,0,3.93,0,0,0,0,1.97,0,0
 24-34,0,0,0,1.6,1.86,1.52,0,0,0,3.02,1.02,0,0,0,0,1.46,1.29,0,0
 36-46,0,0,0,2.67,0,0,0,0,0,0.76,0,5.92,0,0,0,0,1.03,0,0
 48-58,0,0,0,0.79,0,0,0,0,0,0,0,5.02,0,0,0,0,1.59,0,0
 60-70,0,0,0,6.69,0,1.12,0,0,0,1.04,0,8.3,0,0,0,0,0,0,0.57
 72-82,0,0,0,2.05,0,1.99,0,0,0,1.03,0,7.18,1.49,0,0,0,0,1.58,0
 84-94,0,0,0,10.47,0,0,0,0,1.32,0,0,16.56,0,0,0,1.34,0,0,0
 96-106,0,0,0,2.12,2.75,0,0,0,0,0,0,5.67,0,0.79,0,0,1.5,0,0
108-118,0,0,0,0,0,0,0,0,0,4.97,0,10.26,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.51,4.13,0,2.44,14.63,0,0,0,0,0,0,0
