stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,191.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,4.27,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.33,6.41,0,0,4.49,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1330.62,0,0,0,0,5.59,0,0,0,5.82,0,0,9.41,0,0,0,0,1.02,0,0,35.14,0,0,0,0,4.33,0,0,2.96,3.18,0,0,0,0,0
 24-34,0,0,1.26,0,1466.69,0,0,6.54,0,113.17,0,1.19,0,2.87,0,0,0,0,0,0,5.29,20.57,0.82,3.47,83.37,0,0,0.64,0,5.85,0,0,0.92,9.03,0,0,3.52,0,0
 36-46,0,0,0,0,720.04,0,0,4.35,3.45,155.8,0,2.76,0,0,0,0,2.61,0,0.61,0,0.75,2.92,0,0.66,63.9,0,0.56,0,0,6.24,0,2.49,0,5.2,0,0,0,0,4.56
 48-58,0,0,0,0,559.52,0,0,8.51,0,156.61,0.4,9.91,0,0,0,0,0.5,6.44,0.85,0,7.98,8.87,0,1.98,59.46,3.49,1.02,0,0,2.25,0,0.73,0,11.43,0,0,0.44,0,0
 60-70,0,0,0,0,504.48,0,0,2.95,0,154.73,0,3.08,0,0,0,0,2.55,0,3.84,0,12.67,3.85,0.69,2.02,29.37,0,3.56,0,0,0,0.63,0,0,5.24,0,0,0,0,3.59
 72-82,0,0,0,0,549.39,0,0,19.76,0,129.22,0,2.49,1.85,0,1.42,0,10.18,0,0,0,14.91,3.57,0,0.85,18.75,0,7.13,0,0,0.59,0,0,0,4.49,0.58,0.97,0,0.56,0
 84-94,0.62,0,0,0,905.73,1.49,0,21.42,0,228.35,0,10.6,5.69,0,0,0.94,9.26,3.47,1.35,0,7.02,5.21,0,9.27,31.35,0,5.58,0,0,4.65,0,0,0,6.52,17.19,0,0,3,0
 96-106,0,0,0,0,881.87,3.58,0,24.8,0,209.7,0,3.44,16.85,0,0,0,14,0,1.35,2.05,9.43,13.66,0,7.7,42.41,0,23.78,0,0,17.04,0,0,0,1.03,9.82,1.26,0,1.44,0
108-118,0,0,0,0,949.47,0,11.48,9.12,0,290.56,1.29,8.21,22.44,0,0,1.75,21.65,0,0.76,14.6,16.21,6.03,0,3.21,46.19,0,8.26,0.48,0,9.83,0.65,0,0,0.42,16.27,2.44,2.1,0,0
120,0,0,0,0,538.14,3.04,0,9.96,0,160.27,5.27,13.06,4.44,0,0,2.77,3.03,0,0,0,0,8.14,0,0,39.81,0,8.41,6.07,0,1.25,2.12,0,0,0,6.35,0,0,0,0
